,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.012,0.048,-0.09,0.066,0.001,0.001,5191.0,5011.0,1.0
beta0,0.144,0.063,0.045,0.246,0.001,0.001,1984.0,3163.0,1.0
beta1,0.03,0.042,-0.035,0.097,0.001,0.001,2666.0,2467.0,1.0
beta_coefs[0],0.144,0.063,0.045,0.246,0.001,0.001,1984.0,3163.0,1.0
beta_coefs[1],0.03,0.042,-0.035,0.097,0.001,0.001,2666.0,2467.0,1.0
beta_coefs[2],-0.05,0.058,-0.141,0.037,0.001,0.001,2289.0,3178.0,1.0
beta_coefs[3],-0.057,0.042,-0.131,0.003,0.001,0.001,5000.0,3327.0,1.0
beta_coefs[4],-0.019,0.077,-0.138,0.103,0.002,0.001,2088.0,3481.0,1.0
rw2_innovations[0],0.034,0.107,-0.127,0.214,0.002,0.003,2558.0,2104.0,1.0
rw2_innovations[1],0.073,0.106,-0.074,0.253,0.002,0.002,3056.0,2787.0,1.0
rw2_innovations[2],0.046,0.112,-0.107,0.254,0.002,0.003,4573.0,2864.0,1.0
sigma,0.434,0.036,0.376,0.492,0.001,0.001,4698.0,4321.0,1.0
sigma_smooth,0.1,0.062,0.003,0.184,0.002,0.001,981.0,1185.0,1.0
