cohort,n_rows,n_comarques,start_year,end_year,total_seca_ha,mean_seca_ha,mean_yield_tha,median_yield_tha,std_yield_tha,mean_lag_yield
all_olive,81,9,2016,2024,179894.0,2220.9135802469136,5.482582837655094e-18,-0.003666666666666707,0.9253131031650255,-2.4671622769447922e-17
arbequina,90,10,2016,2024,127354.0,1415.0444444444445,4.934324553889585e-18,0.028888888888889186,0.9357160650042919,-1.973729821555834e-17
all,171,14,2016,2024,307248.0,1796.7719298245613,1.0388051692399125e-17,-0.003666666666666707,0.9280643754434927,-2.8567142154097594e-17
