,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.071,0.213,-0.409,0.288,0.004,0.003,2628.0,4090.0,1.0
beta0,0.098,0.111,-0.088,0.272,0.002,0.001,3071.0,4313.0,1.0
beta1,0.019,0.071,-0.099,0.136,0.001,0.001,3162.0,3974.0,1.0
beta_coefs[0],0.098,0.111,-0.088,0.272,0.002,0.001,3071.0,4313.0,1.0
beta_coefs[1],0.019,0.071,-0.099,0.136,0.001,0.001,3162.0,3974.0,1.0
beta_coefs[2],-0.026,0.065,-0.132,0.077,0.001,0.001,3485.0,3881.0,1.0
beta_coefs[3],-0.035,0.051,-0.118,0.045,0.001,0.001,6255.0,4912.0,1.0
beta_coefs[4],-0.024,0.106,-0.192,0.147,0.002,0.002,3744.0,3999.0,1.0
lag_coef,-0.18,0.104,-0.35,-0.014,0.001,0.001,5427.0,5862.0,1.0
rw2_innovations[0],0.033,0.105,-0.133,0.199,0.002,0.003,3628.0,2786.0,1.0
rw2_innovations[1],0.036,0.099,-0.107,0.205,0.002,0.002,4528.0,3445.0,1.0
rw2_innovations[2],0.02,0.102,-0.139,0.19,0.001,0.003,5367.0,2808.0,1.0
sigma,0.71,0.061,0.611,0.809,0.001,0.001,5088.0,5333.0,1.0
sigma_smooth,0.085,0.061,0.003,0.17,0.002,0.001,880.0,1163.0,1.0
sigma_year,0.622,0.175,0.356,0.9,0.003,0.002,2591.0,4091.0,1.0
year_raw[0],0.463,0.523,-0.386,1.331,0.008,0.006,4054.0,4575.0,1.0
year_raw[1],-0.312,0.553,-1.198,0.621,0.008,0.006,4257.0,5120.0,1.0
year_raw[2],1.148,0.583,0.212,2.113,0.01,0.006,3353.0,4578.0,1.0
year_raw[3],-0.242,0.595,-1.251,0.693,0.01,0.008,3726.0,4209.0,1.0
year_raw[4],0.238,0.594,-0.802,1.148,0.01,0.007,3790.0,5308.0,1.0
year_raw[5],-1.999,0.612,-3.018,-1.049,0.01,0.007,3636.0,4760.0,1.0
year_raw[6],0.08,0.576,-0.835,1.049,0.009,0.007,3938.0,5050.0,1.0
year_raw[7],0.506,0.542,-0.4,1.376,0.009,0.006,3348.0,4262.0,1.0
year_re[2016],0.269,0.306,-0.223,0.784,0.005,0.003,4148.0,4911.0,1.0
year_re[2018],-0.189,0.332,-0.714,0.371,0.005,0.004,3873.0,5022.0,1.0
year_re[2019],0.683,0.34,0.14,1.254,0.006,0.004,3552.0,5072.0,1.0
year_re[2020],-0.155,0.359,-0.72,0.456,0.006,0.004,3491.0,4345.0,1.0
year_re[2021],0.143,0.354,-0.46,0.709,0.006,0.004,3739.0,4597.0,1.0
year_re[2022],-1.182,0.31,-1.675,-0.668,0.005,0.003,3479.0,5319.0,1.0
year_re[2023],0.051,0.342,-0.491,0.628,0.005,0.004,3983.0,4608.0,1.0
year_re[2024],0.3,0.322,-0.228,0.827,0.006,0.003,3352.0,5086.0,1.0
