,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.001,0.043,-0.071,0.07,0.001,0.001,4579.0,4430.0,1.0
beta0,0.139,0.056,0.042,0.223,0.004,0.002,212.0,113.0,1.02
beta1,-0.012,0.049,-0.095,0.061,0.001,0.001,2250.0,3025.0,1.01
beta_coefs[0],0.139,0.056,0.042,0.223,0.004,0.002,212.0,113.0,1.02
beta_coefs[1],-0.012,0.049,-0.095,0.061,0.001,0.001,2250.0,3025.0,1.01
beta_coefs[2],-0.075,0.048,-0.155,-0.007,0.001,0.001,2567.0,2953.0,1.0
beta_coefs[3],-0.062,0.062,-0.158,0.043,0.001,0.001,2679.0,3956.0,1.01
lag_coef,-0.113,0.096,-0.268,0.044,0.001,0.001,5039.0,4705.0,1.0
rw2_innovations[0],0.087,0.122,-0.081,0.29,0.003,0.003,1767.0,2794.0,1.0
rw2_innovations[1],0.077,0.127,-0.092,0.305,0.002,0.003,3350.0,3103.0,1.0
sigma,0.414,0.033,0.359,0.465,0.0,0.0,5072.0,4666.0,1.0
sigma_smooth,0.107,0.069,0.003,0.202,0.004,0.001,119.0,22.0,1.03
