,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.052,0.168,-0.33,0.211,0.003,0.003,2763.0,3569.0,1.0
beta0,-0.029,0.092,-0.182,0.118,0.002,0.001,1877.0,3788.0,1.0
beta1,0.006,0.066,-0.099,0.114,0.001,0.001,1943.0,3414.0,1.0
beta_coefs[0],-0.029,0.092,-0.182,0.118,0.002,0.001,1877.0,3788.0,1.0
beta_coefs[1],0.006,0.066,-0.099,0.114,0.001,0.001,1943.0,3414.0,1.0
beta_coefs[2],0.028,0.055,-0.064,0.114,0.001,0.001,4308.0,4752.0,1.0
beta_coefs[3],0.043,0.063,-0.056,0.148,0.001,0.001,4214.0,5398.0,1.0
beta_coefs[4],0.068,0.106,-0.106,0.238,0.002,0.001,2126.0,4880.0,1.0
lag_coef,-0.522,0.285,-0.969,-0.04,0.006,0.003,2333.0,4681.0,1.0
rw2_innovations[0],-0.013,0.087,-0.151,0.118,0.001,0.003,4246.0,3077.0,1.0
rw2_innovations[1],-0.008,0.074,-0.132,0.106,0.001,0.002,4666.0,3405.0,1.0
rw2_innovations[2],0.01,0.084,-0.122,0.146,0.001,0.003,5207.0,2670.0,1.0
sigma,0.23,0.085,0.11,0.349,0.002,0.002,1127.0,3069.0,1.0
sigma_smooth,0.07,0.054,0.002,0.147,0.002,0.001,834.0,991.0,1.0
sigma_year,0.443,0.19,0.13,0.746,0.005,0.003,1210.0,1828.0,1.01
year_raw[0],0.004,0.64,-0.965,1.07,0.012,0.01,2999.0,3299.0,1.0
year_raw[1],0.167,0.551,-0.692,1.049,0.01,0.009,3238.0,3683.0,1.0
year_raw[2],-1.001,0.755,-2.276,0.171,0.012,0.01,3932.0,3320.0,1.0
year_raw[3],-0.05,0.784,-1.368,1.174,0.015,0.011,2622.0,3845.0,1.0
year_raw[4],1.032,0.786,-0.304,2.263,0.014,0.01,3114.0,4351.0,1.0
year_raw[5],-0.567,0.663,-1.648,0.508,0.011,0.009,3738.0,4496.0,1.0
year_raw[6],0.999,0.704,-0.1,2.164,0.012,0.01,3292.0,3601.0,1.0
year_raw[7],-0.757,0.697,-1.892,0.387,0.012,0.009,3388.0,4265.0,1.0
year_re[2016],0.02,0.26,-0.428,0.414,0.005,0.003,2851.0,4436.0,1.0
year_re[2017],0.058,0.215,-0.283,0.414,0.004,0.003,3104.0,4804.0,1.0
year_re[2018],-0.433,0.336,-0.973,0.098,0.007,0.004,2485.0,4467.0,1.0
year_re[2019],-0.061,0.339,-0.618,0.491,0.007,0.005,2440.0,3426.0,1.0
year_re[2020],0.457,0.363,-0.097,1.051,0.009,0.005,1623.0,3786.0,1.0
year_re[2022],-0.236,0.277,-0.684,0.205,0.005,0.003,3434.0,4932.0,1.0
year_re[2023],0.45,0.331,-0.077,0.96,0.008,0.004,1774.0,3784.0,1.0
year_re[2024],-0.352,0.321,-0.852,0.161,0.007,0.004,2194.0,4002.0,1.0
