,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.002,0.032,-0.055,0.05,0.0,0.0,4729.0,4255.0,1.0
beta0,-0.134,0.034,-0.19,-0.08,0.001,0.0,2415.0,3538.0,1.0
beta1,-0.025,0.064,-0.107,0.08,0.002,0.002,1048.0,1821.0,1.0
beta_coefs[0],-0.134,0.034,-0.19,-0.08,0.001,0.0,2415.0,3538.0,1.0
beta_coefs[1],-0.025,0.064,-0.107,0.08,0.002,0.002,1048.0,1821.0,1.0
beta_coefs[2],-0.028,0.039,-0.086,0.035,0.001,0.001,2606.0,2345.0,1.0
beta_coefs[3],0.008,0.051,-0.072,0.08,0.001,0.001,1483.0,2183.0,1.0
beta_coefs[4],0.099,0.041,0.034,0.168,0.001,0.001,6713.0,5101.0,1.0
rw2_innovations[0],-0.112,0.16,-0.371,0.065,0.005,0.005,999.0,1620.0,1.0
rw2_innovations[1],0.039,0.102,-0.101,0.201,0.003,0.004,2266.0,2014.0,1.0
rw2_innovations[2],0.055,0.109,-0.106,0.237,0.003,0.003,2177.0,2574.0,1.0
sigma,0.385,0.024,0.348,0.425,0.0,0.0,3479.0,4104.0,1.0
sigma_smooth,0.094,0.076,0.001,0.203,0.003,0.001,675.0,1109.0,1.0
