stem,cohort,predictor,include_year_re,window_shift_gdd,n_draws,beta_pre_median,beta_pre_q_lo,beta_pre_q_hi,beta_flowering_median,beta_flowering_q_lo,beta_flowering_q_hi,beta_pit_median,beta_pit_q_lo,beta_pit_q_hi,delta_pit_minus_flower_median,delta_pit_minus_flower_q_lo,delta_pit_minus_flower_q_hi,prob_delta_pit_minus_flower_gt_0,delta_flower_minus_pre_median,delta_flower_minus_pre_q_lo,delta_flower_minus_pre_q_hi,prob_delta_flower_minus_pre_gt_0
numpyro_main_all_olive_wd_state,all_olive,wd_state,True,0,8000,-1.1906422351027769e-05,-0.0001645726455855262,0.0001343731693020184,1.1810278048444058e-05,-7.674789860076125e-05,0.00010451266901088625,4.0865319589195923e-05,-3.902168621305759e-05,0.00013014229813779305,2.8343358047968616e-05,-6.406966372842626e-05,0.0001290096692066938,0.693375,2.257545049524022e-05,-7.910196383617049e-05,0.00013275475527263256,0.642375
numpyro_main_arbequina_wd_state,arbequina,wd_state,True,0,8000,-0.000161232987981304,-0.000378281394408617,5.96383368003969e-05,-5.836087370340458e-05,-0.0001941318600568014,8.078039911825118e-05,5.6673138547431575e-05,-6.894851979832524e-05,0.00020419844468499702,0.00011313696056846188,-1.2886082203106972e-05,0.0002623883488738361,0.92825,0.00010117984166171488,-4.387584171141857e-05,0.00025764872924070203,0.882
numpyro_main_morruda_wd_state,morruda,wd_state,True,0,8000,-0.00013424653402730738,-0.0007062755888572669,0.0004647043210593604,-1.8847613776180702e-05,-0.00039602269888547564,0.00035666181582397265,0.00020073175123055338,-0.0002663959249333614,0.0006114492727806948,0.00020382555482201508,-0.00014410923396092449,0.0005388677560939699,0.8385,0.00011765431670474465,-0.0002082652970920846,0.00042667963938359556,0.729375
