,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.045,0.217,-0.316,0.393,0.004,0.003,2672.0,3522.0,1.0
beta0,0.021,0.11,-0.16,0.196,0.002,0.001,2857.0,4276.0,1.0
beta1,-0.032,0.07,-0.145,0.081,0.001,0.001,3089.0,3838.0,1.0
beta_coefs[0],0.021,0.11,-0.16,0.196,0.002,0.001,2857.0,4276.0,1.0
beta_coefs[1],-0.032,0.07,-0.145,0.081,0.001,0.001,3089.0,3838.0,1.0
beta_coefs[2],-0.05,0.068,-0.157,0.059,0.001,0.001,2784.0,3503.0,1.0
beta_coefs[3],-0.018,0.048,-0.095,0.061,0.001,0.001,4844.0,4152.0,1.0
beta_coefs[4],0.041,0.103,-0.127,0.206,0.002,0.001,2920.0,4422.0,1.0
lag_coef,-0.217,0.097,-0.375,-0.056,0.001,0.001,5845.0,5813.0,1.0
rw2_innovations[0],0.034,0.107,-0.119,0.224,0.002,0.003,3718.0,2984.0,1.0
rw2_innovations[1],0.05,0.107,-0.097,0.239,0.002,0.002,3610.0,3373.0,1.0
rw2_innovations[2],0.026,0.11,-0.141,0.213,0.002,0.003,4592.0,2560.0,1.0
sigma,0.653,0.056,0.562,0.743,0.001,0.001,6166.0,5543.0,1.0
sigma_smooth,0.091,0.063,0.002,0.18,0.002,0.001,1020.0,1170.0,1.0
sigma_year,0.644,0.172,0.383,0.908,0.003,0.003,2676.0,4537.0,1.0
year_raw[0],0.426,0.481,-0.354,1.212,0.008,0.005,3528.0,4137.0,1.0
year_raw[1],0.858,0.488,0.065,1.651,0.008,0.005,3482.0,5088.0,1.0
year_raw[2],0.762,0.563,-0.123,1.718,0.01,0.006,3133.0,4568.0,1.0
year_raw[3],-0.062,0.583,-0.959,0.931,0.01,0.007,3182.0,4121.0,1.0
year_raw[4],0.324,0.564,-0.569,1.268,0.01,0.007,3364.0,4528.0,1.0
year_raw[5],-2.174,0.628,-3.164,-1.126,0.011,0.007,3428.0,4704.0,1.0
year_raw[6],-0.189,0.537,-1.077,0.684,0.009,0.006,3618.0,4845.0,1.0
year_raw[7],0.156,0.542,-0.722,1.052,0.009,0.006,3701.0,4891.0,1.0
year_re[2016],0.262,0.296,-0.203,0.768,0.005,0.003,3715.0,4368.0,1.0
year_re[2017],0.528,0.293,0.035,0.993,0.005,0.003,3792.0,5018.0,1.0
year_re[2019],0.464,0.335,-0.083,1.015,0.006,0.003,3468.0,5462.0,1.0
year_re[2020],-0.037,0.363,-0.612,0.556,0.006,0.004,3250.0,4875.0,1.0
year_re[2021],0.21,0.354,-0.354,0.808,0.006,0.004,3362.0,5054.0,1.0
year_re[2022],-1.331,0.308,-1.824,-0.815,0.005,0.003,3481.0,5205.0,1.0
year_re[2023],-0.117,0.332,-0.664,0.418,0.006,0.004,3600.0,4937.0,1.0
year_re[2024],0.091,0.335,-0.438,0.657,0.005,0.003,3834.0,5281.0,1.0
