,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.027,0.117,-0.214,0.16,0.003,0.002,1672.0,2651.0,1.0
beta0,0.081,0.038,0.02,0.142,0.001,0.001,3358.0,3528.0,1.0
beta1,0.028,0.033,-0.027,0.076,0.001,0.001,3209.0,2183.0,1.0
beta_coefs[0],0.081,0.038,0.02,0.142,0.001,0.001,3358.0,3528.0,1.0
beta_coefs[1],0.028,0.033,-0.027,0.076,0.001,0.001,3209.0,2183.0,1.0
beta_coefs[2],-0.004,0.033,-0.061,0.045,0.001,0.001,4050.0,3563.0,1.0
beta_coefs[3],-0.018,0.029,-0.07,0.022,0.0,0.001,4340.0,2650.0,1.0
beta_coefs[4],-0.039,0.044,-0.107,0.039,0.001,0.001,6222.0,4311.0,1.0
lag_coef,-0.189,0.075,-0.314,-0.068,0.001,0.001,5007.0,4666.0,1.0
rw2_innovations[0],0.02,0.077,-0.096,0.152,0.002,0.003,3041.0,1984.0,1.0
rw2_innovations[1],0.018,0.067,-0.085,0.131,0.001,0.002,4206.0,3042.0,1.0
rw2_innovations[2],-0.006,0.077,-0.128,0.12,0.001,0.002,4880.0,2511.0,1.0
sigma,0.297,0.018,0.268,0.327,0.0,0.0,4812.0,5041.0,1.0
sigma_smooth,0.066,0.053,0.001,0.14,0.002,0.001,640.0,456.0,1.0
sigma_year,0.325,0.103,0.17,0.47,0.002,0.002,2025.0,3434.0,1.0
year_raw[0],0.477,0.435,-0.258,1.174,0.01,0.005,2031.0,4018.0,1.0
year_raw[1],0.702,0.46,-0.02,1.486,0.011,0.006,1803.0,3600.0,1.0
year_raw[2],-0.021,0.447,-0.731,0.731,0.009,0.005,2411.0,3824.0,1.0
year_raw[3],1.216,0.533,0.297,2.024,0.012,0.007,1836.0,3469.0,1.0
year_raw[4],0.278,0.469,-0.483,1.04,0.01,0.005,2311.0,4286.0,1.0
year_raw[5],-1.604,0.577,-2.542,-0.653,0.012,0.007,2246.0,3684.0,1.0
year_raw[6],-0.2,0.447,-0.926,0.536,0.009,0.006,2310.0,3669.0,1.0
year_raw[7],-0.838,0.493,-1.631,-0.04,0.01,0.006,2441.0,4174.0,1.0
year_re[2016],0.144,0.135,-0.085,0.358,0.003,0.002,2154.0,3627.0,1.0
year_re[2017],0.212,0.138,-0.012,0.442,0.003,0.002,2005.0,2347.0,1.0
year_re[2018],-0.008,0.142,-0.242,0.217,0.003,0.002,2339.0,4180.0,1.0
year_re[2019],0.364,0.138,0.146,0.587,0.003,0.002,2187.0,3621.0,1.0
year_re[2020],0.084,0.147,-0.145,0.328,0.003,0.002,2370.0,4061.0,1.0
year_re[2022],-0.482,0.135,-0.696,-0.258,0.003,0.002,2082.0,2826.0,1.0
year_re[2023],-0.06,0.141,-0.302,0.16,0.003,0.002,2166.0,3576.0,1.0
year_re[2024],-0.252,0.142,-0.477,-0.019,0.003,0.002,2210.0,4151.0,1.0
