,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.172,-0.289,0.271,0.003,0.003,2863.0,3622.0,1.0
beta0,-0.033,0.087,-0.171,0.113,0.001,0.001,3611.0,4537.0,1.0
beta1,0.001,0.064,-0.099,0.108,0.001,0.001,2939.0,4668.0,1.0
beta_coefs[0],-0.033,0.087,-0.171,0.113,0.001,0.001,3611.0,4537.0,1.0
beta_coefs[1],0.001,0.064,-0.099,0.108,0.001,0.001,2939.0,4668.0,1.0
beta_coefs[2],0.03,0.061,-0.073,0.13,0.001,0.001,4366.0,5314.0,1.0
beta_coefs[3],0.063,0.067,-0.043,0.174,0.001,0.001,5662.0,5700.0,1.0
beta_coefs[4],0.111,0.107,-0.061,0.285,0.001,0.001,5429.0,5570.0,1.0
lag_coef,-0.448,0.276,-0.91,-0.001,0.005,0.003,2867.0,4544.0,1.0
rw2_innovations[0],-0.006,0.08,-0.139,0.118,0.001,0.002,5309.0,3138.0,1.0
rw2_innovations[1],0.004,0.075,-0.117,0.127,0.001,0.002,5271.0,3657.0,1.0
rw2_innovations[2],0.015,0.084,-0.11,0.158,0.001,0.002,5536.0,3044.0,1.0
sigma,0.229,0.084,0.117,0.348,0.002,0.003,1509.0,1829.0,1.0
sigma_smooth,0.07,0.053,0.002,0.144,0.001,0.001,1157.0,1553.0,1.0
sigma_year,0.474,0.18,0.201,0.779,0.004,0.003,1624.0,1266.0,1.0
year_raw[0],0.084,0.62,-0.862,1.149,0.009,0.008,4433.0,5347.0,1.0
year_raw[1],-1.006,0.681,-2.065,0.124,0.01,0.009,4255.0,4212.0,1.0
year_raw[2],-0.014,0.638,-1.094,0.994,0.01,0.008,4069.0,4548.0,1.0
year_raw[3],1.007,0.738,-0.202,2.208,0.011,0.01,4158.0,4270.0,1.0
year_raw[4],0.328,0.761,-0.884,1.598,0.011,0.009,4474.0,4842.0,1.0
year_raw[5],-0.589,0.629,-1.622,0.409,0.01,0.009,3649.0,3906.0,1.0
year_raw[6],1.021,0.673,-0.019,2.162,0.011,0.009,3795.0,3700.0,1.0
year_raw[7],-0.874,0.661,-1.955,0.162,0.012,0.009,3252.0,4097.0,1.0
year_re[2016],0.046,0.282,-0.404,0.514,0.004,0.003,4227.0,5322.0,1.0
year_re[2018],-0.435,0.284,-0.887,0.034,0.005,0.003,3099.0,4407.0,1.0
year_re[2019],-0.011,0.29,-0.461,0.49,0.005,0.004,3735.0,4474.0,1.0
year_re[2020],0.465,0.346,-0.1,1.021,0.006,0.004,2915.0,4615.0,1.0
year_re[2021],0.132,0.346,-0.413,0.703,0.005,0.004,4615.0,5111.0,1.0
year_re[2022],-0.275,0.289,-0.747,0.181,0.005,0.003,2956.0,4901.0,1.0
year_re[2023],0.481,0.328,-0.054,1.0,0.006,0.004,2540.0,4524.0,1.0
year_re[2024],-0.418,0.319,-0.906,0.118,0.007,0.004,2157.0,4363.0,1.0
