,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.009,0.125,-0.184,0.219,0.003,0.002,1672.0,2816.0,1.0
beta0,0.067,0.032,0.018,0.122,0.0,0.0,4519.0,3927.0,1.0
beta1,0.033,0.03,-0.012,0.079,0.001,0.001,2571.0,1919.0,1.0
beta_coefs[0],0.067,0.032,0.018,0.122,0.0,0.0,4519.0,3927.0,1.0
beta_coefs[1],0.033,0.03,-0.012,0.079,0.001,0.001,2571.0,1919.0,1.0
beta_coefs[2],0.015,0.027,-0.032,0.059,0.0,0.001,5029.0,3811.0,1.0
beta_coefs[3],-0.003,0.028,-0.046,0.043,0.001,0.001,3196.0,2116.0,1.0
beta_coefs[4],-0.044,0.038,-0.104,0.02,0.001,0.001,5304.0,4085.0,1.0
lag_coef,-0.133,0.068,-0.246,-0.023,0.001,0.001,6200.0,5142.0,1.0
rw2_innovations[0],0.015,0.076,-0.096,0.14,0.002,0.003,2500.0,1934.0,1.0
rw2_innovations[1],0.0,0.063,-0.099,0.103,0.001,0.002,3716.0,2425.0,1.0
rw2_innovations[2],-0.022,0.077,-0.148,0.093,0.002,0.002,3212.0,2109.0,1.0
sigma,0.253,0.016,0.229,0.28,0.0,0.0,6154.0,4948.0,1.0
sigma_smooth,0.064,0.052,0.001,0.136,0.001,0.001,1002.0,1617.0,1.0
sigma_year,0.345,0.107,0.184,0.495,0.002,0.002,2009.0,3684.0,1.0
year_raw[0],0.434,0.404,-0.26,1.068,0.01,0.005,1811.0,3137.0,1.0
year_raw[1],0.687,0.438,-0.046,1.38,0.01,0.006,1785.0,3258.0,1.0
year_raw[2],-0.262,0.416,-0.936,0.42,0.009,0.005,2226.0,4207.0,1.0
year_raw[3],1.176,0.513,0.36,2.03,0.012,0.007,1836.0,3296.0,1.0
year_raw[4],0.14,0.423,-0.562,0.811,0.009,0.005,2161.0,3885.0,1.0
year_raw[5],0.325,0.41,-0.367,0.982,0.009,0.005,1906.0,3168.0,1.0
year_raw[6],-1.678,0.586,-2.586,-0.695,0.012,0.007,2265.0,3581.0,1.0
year_raw[7],-0.847,0.469,-1.607,-0.079,0.01,0.006,2304.0,3720.0,1.0
year_re[2016],0.14,0.136,-0.081,0.363,0.003,0.002,1937.0,3391.0,1.0
year_re[2017],0.22,0.139,-0.007,0.445,0.003,0.002,2005.0,3203.0,1.0
year_re[2018],-0.085,0.142,-0.313,0.149,0.003,0.002,2075.0,3743.0,1.0
year_re[2019],0.376,0.142,0.135,0.597,0.003,0.002,2122.0,3434.0,1.0
year_re[2020],0.045,0.144,-0.201,0.268,0.003,0.002,2129.0,3785.0,1.0
year_re[2021],0.105,0.139,-0.125,0.329,0.003,0.002,1977.0,3208.0,1.0
year_re[2022],-0.536,0.138,-0.768,-0.323,0.003,0.002,2011.0,3134.0,1.0
year_re[2024],-0.271,0.143,-0.501,-0.034,0.003,0.002,2090.0,3499.0,1.0
