,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.056,0.044,-0.126,0.019,0.001,0.001,5361.0,4736.0,1.0
beta0,-0.158,0.043,-0.225,-0.085,0.001,0.001,4542.0,4376.0,1.0
beta1,-0.083,0.039,-0.147,-0.023,0.001,0.001,2746.0,2617.0,1.0
beta_coefs[0],-0.158,0.043,-0.225,-0.085,0.001,0.001,4542.0,4376.0,1.0
beta_coefs[1],-0.083,0.039,-0.147,-0.023,0.001,0.001,2746.0,2617.0,1.0
beta_coefs[2],-0.022,0.031,-0.07,0.029,0.0,0.001,5260.0,3238.0,1.0
beta_coefs[3],0.046,0.034,-0.01,0.095,0.001,0.001,3328.0,2858.0,1.0
beta_coefs[4],0.129,0.052,0.038,0.213,0.001,0.001,6071.0,5466.0,1.0
rw2_innovations[0],-0.014,0.072,-0.126,0.095,0.002,0.003,2804.0,1946.0,1.0
rw2_innovations[1],0.008,0.063,-0.086,0.111,0.001,0.002,3985.0,2016.0,1.0
rw2_innovations[2],0.015,0.072,-0.092,0.135,0.001,0.002,3593.0,2583.0,1.0
sigma,0.398,0.033,0.344,0.45,0.001,0.0,4307.0,4874.0,1.0
sigma_smooth,0.062,0.051,0.001,0.133,0.001,0.001,952.0,1356.0,1.0
