,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.006,0.045,-0.071,0.076,0.001,0.001,4945.0,4680.0,1.0
beta0,0.119,0.048,0.045,0.2,0.001,0.001,2220.0,2991.0,1.0
beta1,0.038,0.034,-0.015,0.093,0.001,0.001,2450.0,1532.0,1.0
beta_coefs[0],0.119,0.048,0.045,0.2,0.001,0.001,2220.0,2991.0,1.0
beta_coefs[1],0.038,0.034,-0.015,0.093,0.001,0.001,2450.0,1532.0,1.0
beta_coefs[2],-0.02,0.037,-0.085,0.031,0.001,0.001,3125.0,4358.0,1.0
beta_coefs[3],-0.049,0.033,-0.105,0.001,0.001,0.001,4524.0,2686.0,1.0
beta_coefs[4],-0.061,0.049,-0.141,0.021,0.001,0.001,3722.0,4997.0,1.0
rw2_innovations[0],0.024,0.086,-0.112,0.156,0.002,0.003,2084.0,1588.0,1.0
rw2_innovations[1],0.03,0.072,-0.08,0.154,0.001,0.002,4080.0,3348.0,1.0
rw2_innovations[2],0.016,0.083,-0.115,0.158,0.001,0.002,4461.0,2246.0,1.0
sigma,0.409,0.034,0.354,0.465,0.001,0.0,4670.0,4295.0,1.0
sigma_smooth,0.074,0.054,0.001,0.151,0.002,0.001,864.0,964.0,1.01
