,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.022,0.225,-0.37,0.372,0.004,0.003,2727.0,4051.0,1.0
beta0,0.055,0.113,-0.128,0.243,0.002,0.001,2813.0,4004.0,1.0
beta1,-0.003,0.075,-0.136,0.111,0.001,0.001,3085.0,4142.0,1.0
beta_coefs[0],0.055,0.113,-0.128,0.243,0.002,0.001,2813.0,4004.0,1.0
beta_coefs[1],-0.003,0.075,-0.136,0.111,0.001,0.001,3085.0,4142.0,1.0
beta_coefs[2],-0.02,0.076,-0.148,0.091,0.002,0.001,2684.0,2874.0,1.0
beta_coefs[3],0.012,0.053,-0.071,0.099,0.001,0.001,5277.0,4402.0,1.0
beta_coefs[4],0.069,0.113,-0.114,0.245,0.002,0.002,3392.0,3422.0,1.0
lag_coef,-0.222,0.108,-0.403,-0.05,0.002,0.001,5060.0,4460.0,1.0
rw2_innovations[0],0.04,0.115,-0.116,0.25,0.002,0.003,3342.0,3476.0,1.0
rw2_innovations[1],0.05,0.114,-0.113,0.244,0.002,0.003,2901.0,3306.0,1.0
rw2_innovations[2],0.025,0.115,-0.159,0.213,0.002,0.003,5452.0,3184.0,1.0
sigma,0.65,0.057,0.557,0.74,0.001,0.001,5744.0,5626.0,1.0
sigma_smooth,0.094,0.065,0.003,0.186,0.002,0.001,1083.0,1883.0,1.0
sigma_year,0.675,0.176,0.397,0.957,0.003,0.003,2670.0,3772.0,1.0
year_raw[0],0.523,0.471,-0.27,1.27,0.008,0.006,3705.0,3704.0,1.0
year_raw[1],0.988,0.486,0.205,1.771,0.009,0.006,3222.0,4802.0,1.0
year_raw[2],-0.644,0.525,-1.506,0.193,0.008,0.006,3931.0,5102.0,1.0
year_raw[3],0.951,0.558,0.017,1.836,0.01,0.007,2870.0,3734.0,1.0
year_raw[4],-0.131,0.563,-1.103,0.761,0.01,0.006,3156.0,4887.0,1.0
year_raw[5],0.243,0.556,-0.687,1.135,0.01,0.007,3211.0,4404.0,1.0
year_raw[6],-1.995,0.586,-2.955,-1.047,0.01,0.007,3474.0,4634.0,1.0
year_raw[7],0.038,0.525,-0.812,0.89,0.008,0.007,3958.0,4728.0,1.0
year_re[2016],0.337,0.303,-0.164,0.826,0.005,0.003,4136.0,5570.0,1.0
year_re[2017],0.637,0.301,0.132,1.109,0.005,0.003,3758.0,4813.0,1.0
year_re[2018],-0.424,0.347,-1.002,0.119,0.006,0.004,3902.0,5193.0,1.0
year_re[2019],0.609,0.34,0.057,1.174,0.006,0.004,3325.0,5286.0,1.0
year_re[2020],-0.087,0.366,-0.69,0.509,0.006,0.004,3311.0,5006.0,1.0
year_re[2021],0.165,0.36,-0.442,0.743,0.006,0.004,3414.0,4473.0,1.0
year_re[2022],-1.283,0.309,-1.78,-0.778,0.005,0.003,3463.0,5438.0,1.0
year_re[2023],0.025,0.341,-0.549,0.557,0.005,0.004,3916.0,5228.0,1.0
