,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.023,0.046,-0.104,0.048,0.001,0.001,6166.0,4970.0,1.0
beta0,0.001,0.069,-0.107,0.119,0.001,0.001,3615.0,3960.0,1.0
beta1,0.081,0.06,-0.014,0.179,0.001,0.001,3234.0,3437.0,1.0
beta_coefs[0],0.001,0.069,-0.107,0.119,0.001,0.001,3615.0,3960.0,1.0
beta_coefs[1],0.081,0.06,-0.014,0.179,0.001,0.001,3234.0,3437.0,1.0
beta_coefs[2],0.096,0.069,-0.021,0.2,0.001,0.001,3142.0,3031.0,1.0
beta_coefs[3],-0.003,0.065,-0.107,0.1,0.001,0.001,3486.0,3900.0,1.0
beta_coefs[4],-0.297,0.101,-0.462,-0.13,0.002,0.001,3068.0,3033.0,1.0
rw2_innovations[0],-0.066,0.143,-0.308,0.161,0.003,0.003,2950.0,3013.0,1.0
rw2_innovations[1],-0.114,0.13,-0.332,0.084,0.002,0.002,3801.0,3076.0,1.0
rw2_innovations[2],-0.194,0.175,-0.48,0.057,0.003,0.003,3139.0,3146.0,1.0
sigma,0.421,0.036,0.364,0.478,0.001,0.0,5076.0,4819.0,1.0
sigma_smooth,0.153,0.064,0.051,0.265,0.001,0.001,1766.0,1200.0,1.0
