,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.023,0.05,-0.11,0.054,0.001,0.001,4737.0,4760.0,1.0
beta0,-0.108,0.049,-0.188,-0.025,0.001,0.001,4123.0,3903.0,1.0
beta1,-0.048,0.047,-0.119,0.026,0.001,0.001,2340.0,1924.0,1.0
beta_coefs[0],-0.108,0.049,-0.188,-0.025,0.001,0.001,4123.0,3903.0,1.0
beta_coefs[1],-0.048,0.047,-0.119,0.026,0.001,0.001,2340.0,1924.0,1.0
beta_coefs[2],-0.017,0.034,-0.072,0.038,0.001,0.001,4634.0,3038.0,1.0
beta_coefs[3],0.026,0.04,-0.034,0.088,0.001,0.001,2794.0,1981.0,1.0
beta_coefs[4],0.092,0.059,-0.001,0.19,0.001,0.001,6140.0,5734.0,1.0
rw2_innovations[0],-0.028,0.088,-0.168,0.086,0.002,0.004,2309.0,1811.0,1.0
rw2_innovations[1],0.011,0.069,-0.091,0.126,0.001,0.002,3682.0,2358.0,1.0
rw2_innovations[2],0.024,0.081,-0.086,0.159,0.002,0.004,3045.0,1814.0,1.0
sigma,0.457,0.038,0.395,0.519,0.001,0.001,4497.0,2116.0,1.0
sigma_smooth,0.067,0.055,0.001,0.144,0.002,0.001,727.0,612.0,1.01
