,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.124,-0.2,0.205,0.003,0.002,2357.0,2684.0,1.0
beta0,0.055,0.05,-0.022,0.14,0.001,0.001,4050.0,3160.0,1.0
beta1,0.038,0.033,-0.012,0.091,0.0,0.001,4395.0,3265.0,1.0
beta_coefs[0],0.055,0.05,-0.022,0.14,0.001,0.001,4050.0,3160.0,1.0
beta_coefs[1],0.038,0.033,-0.012,0.091,0.0,0.001,4395.0,3265.0,1.0
beta_coefs[2],0.022,0.033,-0.034,0.074,0.0,0.001,5437.0,3265.0,1.0
beta_coefs[3],0.006,0.033,-0.047,0.058,0.0,0.001,4956.0,3782.0,1.0
beta_coefs[4],-0.002,0.029,-0.05,0.044,0.0,0.001,5511.0,3091.0,1.0
beta_coefs[5],-0.001,0.029,-0.041,0.047,0.0,0.001,5112.0,1759.0,1.0
beta_coefs[6],-0.008,0.03,-0.056,0.036,0.0,0.001,4451.0,2877.0,1.0
beta_coefs[7],-0.027,0.061,-0.12,0.073,0.001,0.002,6265.0,2428.0,1.0
lag_coef,-0.14,0.097,-0.301,0.015,0.001,0.001,5387.0,5313.0,1.0
rw2_innovations[0],0.001,0.061,-0.095,0.087,0.001,0.003,5104.0,2033.0,1.01
rw2_innovations[1],0.001,0.051,-0.078,0.082,0.001,0.002,6138.0,2777.0,1.01
rw2_innovations[2],0.007,0.051,-0.07,0.086,0.001,0.002,6096.0,2547.0,1.01
rw2_innovations[3],0.009,0.052,-0.065,0.092,0.001,0.002,5311.0,2426.0,1.01
rw2_innovations[4],-0.007,0.056,-0.097,0.067,0.001,0.003,5754.0,1707.0,1.01
rw2_innovations[5],-0.012,0.063,-0.112,0.071,0.001,0.003,6395.0,1791.0,1.01
sigma,0.297,0.024,0.255,0.335,0.0,0.0,5835.0,4973.0,1.0
sigma_smooth,0.046,0.043,0.0,0.104,0.002,0.001,332.0,441.0,1.01
sigma_year,0.369,0.107,0.21,0.534,0.002,0.002,2041.0,3503.0,1.0
year_raw[0],0.61,0.462,-0.121,1.368,0.008,0.006,3191.0,4692.0,1.0
year_raw[1],0.772,0.465,-0.0,1.526,0.008,0.005,3048.0,4369.0,1.0
year_raw[2],-0.122,0.51,-0.937,0.722,0.008,0.007,3635.0,4727.0,1.0
year_raw[3],1.337,0.58,0.437,2.319,0.01,0.006,3304.0,4927.0,1.0
year_raw[4],0.078,0.541,-0.84,0.948,0.009,0.006,3485.0,5197.0,1.0
year_raw[5],0.019,0.56,-0.935,0.896,0.01,0.007,3346.0,3948.0,1.0
year_raw[6],-1.633,0.57,-2.573,-0.705,0.011,0.007,2660.0,3959.0,1.0
year_raw[7],-0.334,0.512,-1.134,0.538,0.008,0.006,3701.0,5034.0,1.0
year_raw[8],-0.725,0.528,-1.547,0.174,0.009,0.008,3554.0,4271.0,1.0
year_re[2016],0.213,0.16,-0.043,0.472,0.003,0.002,3071.0,4022.0,1.0
year_re[2017],0.269,0.158,0.006,0.524,0.003,0.002,3210.0,4395.0,1.0
year_re[2018],-0.045,0.181,-0.328,0.259,0.003,0.002,3420.0,4396.0,1.0
year_re[2019],0.461,0.174,0.179,0.75,0.003,0.002,3708.0,4808.0,1.0
year_re[2020],0.029,0.192,-0.298,0.33,0.003,0.002,3385.0,4774.0,1.0
year_re[2021],0.012,0.198,-0.316,0.329,0.003,0.003,3231.0,3610.0,1.0
year_re[2022],-0.565,0.159,-0.816,-0.299,0.003,0.002,3349.0,4546.0,1.0
year_re[2023],-0.116,0.181,-0.418,0.17,0.003,0.002,3562.0,4703.0,1.0
year_re[2024],-0.251,0.18,-0.531,0.056,0.003,0.002,3643.0,4850.0,1.0
