,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.006,0.043,-0.065,0.073,0.001,0.001,6016.0,5566.0,1.0
beta0,0.093,0.06,-0.01,0.186,0.001,0.001,4345.0,4598.0,1.0
beta1,0.067,0.051,-0.019,0.147,0.001,0.001,3086.0,3176.0,1.0
beta_coefs[0],0.093,0.06,-0.01,0.186,0.001,0.001,4345.0,4598.0,1.0
beta_coefs[1],0.067,0.051,-0.019,0.147,0.001,0.001,3086.0,3176.0,1.0
beta_coefs[2],0.03,0.054,-0.055,0.115,0.001,0.001,3187.0,4665.0,1.0
beta_coefs[3],-0.061,0.062,-0.157,0.032,0.001,0.001,2333.0,2373.0,1.0
beta_coefs[4],-0.296,0.09,-0.446,-0.153,0.002,0.001,2539.0,4639.0,1.0
rw2_innovations[0],-0.01,0.118,-0.188,0.192,0.002,0.003,2694.0,2186.0,1.0
rw2_innovations[1],-0.055,0.112,-0.241,0.108,0.002,0.004,3659.0,2939.0,1.0
rw2_innovations[2],-0.145,0.165,-0.394,0.077,0.004,0.005,2342.0,2185.0,1.0
sigma,0.386,0.033,0.334,0.438,0.0,0.0,5024.0,4328.0,1.0
sigma_smooth,0.121,0.068,0.003,0.213,0.002,0.001,1217.0,1007.0,1.01
