,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.043,-0.07,0.07,0.001,0.001,5569.0,4822.0,1.0
beta0,0.141,0.048,0.055,0.213,0.001,0.001,3174.0,2460.0,1.0
beta1,0.02,0.036,-0.037,0.079,0.001,0.001,3796.0,3714.0,1.0
beta_coefs[0],0.141,0.048,0.055,0.213,0.001,0.001,3174.0,2460.0,1.0
beta_coefs[1],0.02,0.036,-0.037,0.079,0.001,0.001,3796.0,3714.0,1.0
beta_coefs[2],-0.062,0.039,-0.123,0.002,0.001,0.0,3137.0,3761.0,1.0
beta_coefs[3],-0.066,0.037,-0.125,-0.006,0.001,0.0,4660.0,5183.0,1.0
beta_coefs[4],-0.024,0.036,-0.082,0.033,0.0,0.001,5588.0,4820.0,1.0
beta_coefs[5],0.016,0.051,-0.067,0.1,0.001,0.001,4871.0,5102.0,1.0
lag_coef,-0.095,0.102,-0.263,0.068,0.001,0.001,5275.0,4671.0,1.0
rw2_innovations[0],0.04,0.084,-0.087,0.185,0.001,0.002,3722.0,3297.0,1.0
rw2_innovations[1],0.077,0.084,-0.05,0.211,0.001,0.002,3716.0,3763.0,1.0
rw2_innovations[2],0.047,0.08,-0.079,0.182,0.001,0.001,4635.0,4156.0,1.0
rw2_innovations[3],-0.002,0.09,-0.144,0.146,0.001,0.002,5551.0,4507.0,1.0
sigma,0.411,0.032,0.36,0.462,0.0,0.0,6219.0,4918.0,1.0
sigma_smooth,0.096,0.047,0.024,0.172,0.001,0.001,1581.0,1196.0,1.0
