,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.019,0.035,-0.074,0.04,0.001,0.0,4759.0,4710.0,1.0
beta0,-0.11,0.036,-0.171,-0.054,0.001,0.0,4183.0,4580.0,1.0
beta1,-0.029,0.059,-0.112,0.063,0.002,0.002,1549.0,1764.0,1.0
beta_coefs[0],-0.11,0.036,-0.171,-0.054,0.001,0.0,4183.0,4580.0,1.0
beta_coefs[1],-0.029,0.059,-0.112,0.063,0.002,0.002,1549.0,1764.0,1.0
beta_coefs[2],-0.028,0.036,-0.087,0.026,0.001,0.001,2884.0,2474.0,1.0
beta_coefs[3],0.007,0.052,-0.073,0.077,0.001,0.002,1653.0,1881.0,1.0
beta_coefs[4],0.102,0.046,0.024,0.176,0.001,0.001,6211.0,6112.0,1.0
rw2_innovations[0],-0.08,0.135,-0.288,0.086,0.004,0.004,1369.0,1711.0,1.0
rw2_innovations[1],0.033,0.087,-0.09,0.178,0.002,0.003,2582.0,1950.0,1.0
rw2_innovations[2],0.061,0.112,-0.087,0.245,0.003,0.004,1864.0,1937.0,1.0
sigma,0.423,0.026,0.378,0.464,0.0,0.0,4679.0,3467.0,1.0
sigma_smooth,0.089,0.069,0.002,0.188,0.002,0.001,659.0,833.0,1.0
