,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.045,0.031,-0.006,0.097,0.0,0.0,5826.0,4964.0,1.0
beta0,0.163,0.045,0.09,0.238,0.001,0.001,2999.0,3715.0,1.0
beta1,0.005,0.044,-0.067,0.073,0.001,0.001,2584.0,2993.0,1.0
beta_coefs[0],0.163,0.045,0.09,0.238,0.001,0.001,2999.0,3715.0,1.0
beta_coefs[1],0.005,0.044,-0.067,0.073,0.001,0.001,2584.0,2993.0,1.0
beta_coefs[2],-0.087,0.048,-0.165,-0.01,0.001,0.001,3323.0,3369.0,1.0
beta_coefs[3],-0.062,0.047,-0.139,0.013,0.001,0.001,4597.0,3551.0,1.0
beta_coefs[4],0.046,0.057,-0.049,0.141,0.001,0.001,3682.0,3247.0,1.0
rw2_innovations[0],0.065,0.12,-0.124,0.264,0.002,0.003,2427.0,2585.0,1.0
rw2_innovations[1],0.117,0.108,-0.041,0.299,0.002,0.002,3493.0,3212.0,1.0
rw2_innovations[2],0.083,0.128,-0.108,0.301,0.002,0.002,4633.0,3212.0,1.0
sigma,0.374,0.023,0.336,0.41,0.0,0.0,5456.0,4370.0,1.0
sigma_smooth,0.13,0.054,0.046,0.218,0.001,0.001,2123.0,2020.0,1.0
