cohort,comarca,year,row_idx,yield_tha,lag_yield,wd_S_pre_mean,wd_S5_mean,wd_S6_mean,wd_S7_mean,wd_S8_mean
all_olive,Alt Camp,2016,0,0.4700000000000002,1.124777777777778,-0.8264223389205095,-0.9322035852170999,-4.424848562567718,-2.4300009287627695,1.3056611487464536
all_olive,Alt Camp,2017,1,0.512,0.2827777777777778,0.019820212758202987,-1.6128701760957194,-4.366804428824356,-2.7036199245661012,-1.548711740633561
all_olive,Alt Camp,2018,2,-0.5269999999999999,0.3247777777777776,0.8185323511945527,-0.5662795047261819,-0.9520606063128939,-1.0936565321953928,4.394832805353439
all_olive,Alt Camp,2019,3,0.92,-0.7142222222222223,-1.3294908231202984,-2.4974533445688327,-3.189577158380831,-1.8391381697236457,-0.9162063461817095
all_olive,Alt Camp,2020,4,-0.1079999999999998,0.7327777777777775,0.17475447853581141,1.3949632081597005,-2.051621246781378,-2.774407232978515,0.004130571814520233
all_olive,Alt Camp,2021,5,0.51,-0.2952222222222223,-0.012830840371234458,-1.3287643923410286,-3.9108096114581543,-1.9476988339629124,1.1183942786994436
all_olive,Alt Camp,2022,6,-0.8029999999999999,0.3227777777777776,-0.5690964057324496,-0.9150531230151505,-3.4647079093470468,-1.6911641747577397,-1.354292259862026
all_olive,Alt Camp,2023,7,-0.6009999999999999,-0.9902222222222224,-0.8184587128390446,-3.3950080159421443,-0.0483378397744329,-2.9018063140027808,-1.9869587494592582
all_olive,Alt Camp,2024,8,-0.3729999999999999,-0.7882222222222223,-0.5801303895461449,-1.04582606250448,-2.413868215147938,-1.5632461421043857,2.746489095235508
all_olive,Alt Empordà,2016,9,0.2026666666666665,-0.0246666666666666,0.48834464134802075,-0.5546306543636009,-1.5281947848596136,-2.890541651657869,0.693594829279131
all_olive,Alt Empordà,2017,10,-0.0363333333333335,0.2653333333333334,2.066895923217462,-1.7031686849721368,-4.395957908958044,-2.390368906712443,-1.5820951187527001
all_olive,Alt Empordà,2018,11,-0.1013333333333335,0.0263333333333333,1.0534747423982658,-0.013020444478688772,-2.6954216453493856,-1.7442618445979028,3.8215463229321993
all_olive,Alt Empordà,2019,12,0.3196666666666665,-0.0386666666666666,-1.0837368558721254,-1.4735649863202402,-3.6621947865096907,-1.3327595293426844,0.3088561844707905
all_olive,Alt Empordà,2020,13,0.3916666666666664,0.3823333333333334,2.1605277241543095,1.429993449565349,-1.310532237517135,-1.8927738797489784,-0.6418551003503404
all_olive,Alt Empordà,2021,14,-0.4113333333333335,0.4543333333333332,0.32602785584859734,-1.1879311776352615,-3.4278421535175667,-2.778194908500393,2.243691579690583
all_olive,Alt Empordà,2022,15,-0.4113333333333335,-0.3486666666666667,-0.08027046082177816,-0.37175927116378754,-4.353755946974364,-3.028912813958127,-0.7184817285790127
all_olive,Alt Empordà,2023,16,-0.4303333333333334,-0.3486666666666667,-0.4954740551002399,-2.1031822579811568,-3.328975973502561,-2.6291930781827313,-0.23236877916912954
all_olive,Alt Empordà,2024,17,0.4766666666666665,-0.3676666666666666,0.24956120501536616,-0.5454374373511184,-1.3415211193415584,-3.07184844127964,2.253590786881859
all_olive,Alt Penedès,2016,18,-0.0608888888888888,0.4477777777777778,-0.9157309114175961,-0.6012270644561314,-3.9358527784672943,-2.238683567718177,1.0788557545985191
all_olive,Alt Penedès,2017,19,0.7991111111111112,-0.1522222222222222,0.21497191688499345,-1.6270700521282615,-4.879142629438821,-2.1136227620621946,-1.533181075843013
all_olive,Alt Penedès,2018,20,0.0391111111111112,0.7077777777777778,1.1065993750059386,-0.6275157345804389,-2.0685776292973634,-0.9096716114503595,4.692615531907626
all_olive,Alt Penedès,2019,21,0.1491111111111112,-0.0522222222222221,-1.182162815251461,-2.319195837445701,-3.0671851140123847,-1.701798350231345,-0.8355818280988201
all_olive,Alt Penedès,2020,22,-0.0108888888888888,0.0577777777777778,0.35915446829358116,0.880834048117465,-2.179511323069432,-2.3261971833551813,-0.1350419306272299
all_olive,Alt Penedès,2021,23,0.2391111111111111,-0.1022222222222222,-0.2042890347397964,-1.4196737946342748,-4.210479869001677,-1.681526586808297,1.5919167332978428
all_olive,Alt Penedès,2022,24,-0.3608888888888888,0.1477777777777777,-0.4706509738703308,-1.456810481473009,-3.6833205822627146,-1.5895833494564062,-1.1398610640412234
all_olive,Alt Penedès,2023,25,-0.5108888888888888,-0.4522222222222222,-0.8322428503716494,-3.1020737137994976,-1.4804303651029362,-2.816253573253598,-1.9060037944522894
all_olive,Alt Penedès,2024,26,-0.2828888888888888,-0.6022222222222222,-0.5944523005268462,-0.7446203929846729,-2.284282391548765,-1.4302242296597933,2.3407611488459676
all_olive,Anoia,2016,27,-0.2531111111111111,-0.0277777777777777,-0.8518308010360401,-0.407509551255363,-4.26064670506924,-2.2832891438665555,1.4935011150433668
all_olive,Anoia,2017,28,0.3768888888888889,-0.2777777777777777,0.05323859315266459,-1.5571298275303533,-4.455484451105197,-2.513157038872232,-1.4365016295545043
all_olive,Anoia,2018,29,0.0968888888888889,0.3522222222222223,1.2460998178158007,0.21528297414073397,-0.024548825810826156,-0.6416448250320965,4.813388159195524
all_olive,Anoia,2019,30,0.0968888888888889,0.0722222222222223,-1.1640378705900691,-2.1592815110419767,-3.1573593305571683,-1.4602559474814247,-0.781907668174614
all_olive,Anoia,2020,31,0.3168888888888889,0.0722222222222223,0.26506704505655465,1.0873301789399303,-1.3854872555782403,-2.019790744739117,0.23393870715702345
all_olive,Anoia,2021,32,0.2968888888888888,0.2922222222222222,0.0498288837822621,-1.1664167720775058,-4.108992745827824,-1.968650937592857,1.2751657304812283
all_olive,Anoia,2022,33,-0.2531111111111111,0.2722222222222222,-0.46900224503485366,-1.2881851837928615,-3.887601031936588,-1.320910729515502,-1.089750869044413
all_olive,Anoia,2023,34,-0.4531111111111111,-0.2777777777777777,-0.6934632213934904,-3.487207395044676,-0.13509732524435666,-2.7585323037533667,-1.6545676133033655
all_olive,Anoia,2024,35,-0.2251111111111111,-0.4777777777777777,-0.39830573827191496,-0.3836188224695663,-2.388538284446039,-1.4272863338939594,1.6272909479614874
