,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.005,0.157,-0.262,0.247,0.003,0.002,3116.0,3974.0,1.0
beta0,-0.014,0.066,-0.12,0.095,0.001,0.001,3435.0,4102.0,1.0
beta1,0.034,0.052,-0.052,0.115,0.001,0.001,3027.0,2575.0,1.0
beta_coefs[0],-0.014,0.066,-0.12,0.095,0.001,0.001,3435.0,4102.0,1.0
beta_coefs[1],0.034,0.052,-0.052,0.115,0.001,0.001,3027.0,2575.0,1.0
beta_coefs[2],0.048,0.048,-0.028,0.125,0.001,0.001,4713.0,5144.0,1.0
beta_coefs[3],0.051,0.055,-0.042,0.138,0.001,0.001,4814.0,4375.0,1.0
beta_coefs[4],0.065,0.097,-0.091,0.225,0.001,0.001,5270.0,4526.0,1.0
lag_coef,-0.515,0.225,-0.875,-0.145,0.004,0.003,3578.0,3754.0,1.0
rw2_innovations[0],-0.033,0.093,-0.188,0.091,0.002,0.004,2950.0,1817.0,1.0
rw2_innovations[1],-0.012,0.075,-0.136,0.104,0.001,0.002,4711.0,3051.0,1.0
rw2_innovations[2],0.011,0.092,-0.124,0.169,0.001,0.003,4737.0,3046.0,1.0
sigma,0.145,0.057,0.071,0.218,0.002,0.002,1503.0,1920.0,1.0
sigma_smooth,0.075,0.058,0.001,0.156,0.002,0.001,815.0,895.0,1.0
sigma_year,0.453,0.145,0.239,0.678,0.003,0.002,2567.0,2938.0,1.0
year_raw[0],0.089,0.553,-0.788,1.025,0.008,0.007,4538.0,4914.0,1.0
year_raw[1],0.166,0.454,-0.563,0.905,0.008,0.007,3652.0,3996.0,1.0
year_raw[2],-1.202,0.642,-2.193,-0.137,0.01,0.008,3984.0,4814.0,1.0
year_raw[3],0.866,0.657,-0.155,1.984,0.011,0.01,3876.0,3729.0,1.0
year_raw[4],0.741,0.743,-0.486,1.956,0.011,0.009,4523.0,3574.0,1.0
year_raw[5],-0.683,0.548,-1.572,0.193,0.009,0.007,3629.0,4238.0,1.0
year_raw[6],0.959,0.629,-0.082,1.949,0.01,0.008,3962.0,4462.0,1.0
year_raw[7],-0.904,0.573,-1.863,-0.005,0.01,0.009,3404.0,4298.0,1.0
year_re[2016],0.041,0.241,-0.332,0.449,0.004,0.003,4416.0,4387.0,1.0
year_re[2017],0.067,0.195,-0.253,0.386,0.003,0.002,3642.0,4977.0,1.0
year_re[2018],-0.496,0.231,-0.858,-0.099,0.004,0.003,3798.0,4017.0,1.0
year_re[2020],0.366,0.272,-0.078,0.803,0.005,0.004,3336.0,3826.0,1.0
year_re[2021],0.314,0.325,-0.208,0.858,0.005,0.004,4167.0,4204.0,1.0
year_re[2022],-0.3,0.242,-0.692,0.082,0.004,0.003,3627.0,4502.0,1.0
year_re[2023],0.418,0.277,-0.031,0.869,0.005,0.003,3447.0,4504.0,1.0
year_re[2024],-0.401,0.258,-0.827,0.019,0.005,0.003,2982.0,4161.0,1.0
