,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.028,0.12,-0.221,0.168,0.003,0.002,1947.0,2838.0,1.0
beta0,0.087,0.036,0.027,0.145,0.001,0.0,3571.0,3880.0,1.0
beta1,0.034,0.03,-0.018,0.08,0.001,0.001,3122.0,2674.0,1.0
beta_coefs[0],0.087,0.036,0.027,0.145,0.001,0.0,3571.0,3880.0,1.0
beta_coefs[1],0.034,0.03,-0.018,0.08,0.001,0.001,3122.0,2674.0,1.0
beta_coefs[2],-0.004,0.032,-0.059,0.041,0.001,0.001,3694.0,3463.0,1.0
beta_coefs[3],-0.017,0.026,-0.059,0.025,0.0,0.001,5192.0,3941.0,1.0
beta_coefs[4],-0.026,0.044,-0.097,0.045,0.001,0.001,5832.0,5003.0,1.0
lag_coef,-0.329,0.08,-0.459,-0.198,0.001,0.001,6449.0,5114.0,1.0
rw2_innovations[0],0.015,0.073,-0.104,0.135,0.001,0.002,3125.0,2487.0,1.0
rw2_innovations[1],0.026,0.067,-0.076,0.137,0.001,0.002,3501.0,2999.0,1.0
rw2_innovations[2],0.003,0.07,-0.115,0.115,0.001,0.002,5516.0,3788.0,1.0
sigma,0.285,0.017,0.256,0.313,0.0,0.0,5918.0,5566.0,1.0
sigma_smooth,0.066,0.051,0.001,0.138,0.001,0.001,925.0,1381.0,1.0
sigma_year,0.327,0.102,0.174,0.472,0.002,0.002,2327.0,3816.0,1.0
year_raw[0],0.817,0.459,0.033,1.539,0.009,0.006,2435.0,3610.0,1.0
year_raw[1],0.021,0.443,-0.695,0.727,0.009,0.005,2536.0,4226.0,1.0
year_raw[2],1.126,0.525,0.215,1.942,0.01,0.007,2521.0,3367.0,1.0
year_raw[3],0.453,0.474,-0.375,1.188,0.009,0.006,2634.0,3790.0,1.0
year_raw[4],0.383,0.442,-0.308,1.145,0.009,0.005,2492.0,3989.0,1.0
year_raw[5],-1.522,0.568,-2.477,-0.632,0.012,0.007,2344.0,3793.0,1.0
year_raw[6],-0.422,0.46,-1.144,0.359,0.009,0.005,2734.0,3955.0,1.0
year_raw[7],-0.87,0.483,-1.646,-0.06,0.01,0.006,2536.0,3955.0,1.0
year_re[2017],0.249,0.137,0.024,0.466,0.003,0.002,2362.0,3761.0,1.0
year_re[2018],0.004,0.143,-0.224,0.244,0.003,0.002,2437.0,4134.0,1.0
year_re[2019],0.34,0.14,0.123,0.573,0.003,0.002,2588.0,4364.0,1.0
year_re[2020],0.139,0.149,-0.108,0.38,0.003,0.002,2504.0,3946.0,1.0
year_re[2021],0.118,0.141,-0.109,0.352,0.003,0.002,2400.0,3816.0,1.0
year_re[2022],-0.461,0.137,-0.678,-0.236,0.003,0.002,2507.0,3942.0,1.0
year_re[2023],-0.128,0.145,-0.363,0.103,0.003,0.002,2511.0,3715.0,1.0
year_re[2024],-0.265,0.143,-0.491,-0.03,0.003,0.002,2554.0,4002.0,1.0
