,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.018,0.034,-0.075,0.036,0.0,0.0,4921.0,3972.0,1.0
beta0,-0.125,0.036,-0.184,-0.066,0.001,0.0,3439.0,4168.0,1.0
beta1,-0.022,0.07,-0.119,0.087,0.002,0.002,1200.0,1888.0,1.0
beta_coefs[0],-0.125,0.036,-0.184,-0.066,0.001,0.0,3439.0,4168.0,1.0
beta_coefs[1],-0.022,0.07,-0.119,0.087,0.002,0.002,1200.0,1888.0,1.0
beta_coefs[2],-0.04,0.041,-0.108,0.02,0.001,0.001,2717.0,2656.0,1.0
beta_coefs[3],-0.002,0.061,-0.098,0.08,0.002,0.002,1344.0,1956.0,1.0
beta_coefs[4],0.127,0.046,0.05,0.2,0.001,0.001,4811.0,5528.0,1.0
rw2_innovations[0],-0.12,0.171,-0.401,0.076,0.005,0.005,1144.0,1860.0,1.0
rw2_innovations[1],0.056,0.107,-0.096,0.234,0.002,0.003,2801.0,2330.0,1.0
rw2_innovations[2],0.091,0.132,-0.078,0.3,0.004,0.004,1701.0,1971.0,1.0
sigma,0.412,0.026,0.37,0.453,0.0,0.0,3531.0,4175.0,1.0
sigma_smooth,0.107,0.078,0.002,0.218,0.003,0.001,803.0,1096.0,1.0
