,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.126,-0.198,0.213,0.003,0.002,2313.0,2819.0,1.0
beta0,0.079,0.055,-0.011,0.168,0.001,0.001,3735.0,4633.0,1.0
beta1,0.037,0.038,-0.026,0.098,0.001,0.001,3335.0,3503.0,1.0
beta_coefs[0],0.079,0.055,-0.011,0.168,0.001,0.001,3735.0,4633.0,1.0
beta_coefs[1],0.037,0.038,-0.026,0.098,0.001,0.001,3335.0,3503.0,1.0
beta_coefs[2],0.002,0.038,-0.062,0.06,0.001,0.001,4442.0,3784.0,1.0
beta_coefs[3],-0.015,0.03,-0.063,0.032,0.0,0.001,4676.0,3493.0,1.0
beta_coefs[4],-0.026,0.057,-0.116,0.066,0.001,0.001,4971.0,4378.0,1.0
lag_coef,-0.144,0.096,-0.305,0.01,0.001,0.001,5970.0,5222.0,1.0
rw2_innovations[0],0.007,0.077,-0.102,0.147,0.002,0.003,3106.0,2572.0,1.0
rw2_innovations[1],0.018,0.072,-0.087,0.141,0.001,0.002,4501.0,3362.0,1.0
rw2_innovations[2],0.007,0.077,-0.114,0.138,0.001,0.002,5110.0,3160.0,1.0
sigma,0.297,0.024,0.255,0.335,0.0,0.0,6062.0,5241.0,1.0
sigma_smooth,0.068,0.052,0.001,0.142,0.002,0.001,963.0,1494.0,1.01
sigma_year,0.367,0.108,0.196,0.52,0.002,0.002,2458.0,3805.0,1.0
year_raw[0],0.606,0.464,-0.19,1.344,0.008,0.006,3168.0,3686.0,1.0
year_raw[1],0.785,0.463,0.014,1.539,0.009,0.005,2871.0,4002.0,1.0
year_raw[2],-0.21,0.476,-1.043,0.524,0.008,0.005,3288.0,4804.0,1.0
year_raw[3],1.355,0.575,0.399,2.274,0.01,0.007,3229.0,4155.0,1.0
year_raw[4],0.045,0.528,-0.866,0.862,0.01,0.006,2776.0,4485.0,1.0
year_raw[5],0.087,0.522,-0.802,0.906,0.01,0.006,2922.0,4582.0,1.0
year_raw[6],-1.635,0.567,-2.526,-0.664,0.011,0.007,2659.0,3983.0,1.0
year_raw[7],-0.306,0.491,-1.092,0.508,0.008,0.006,3476.0,4824.0,1.0
year_raw[8],-0.765,0.498,-1.572,0.053,0.009,0.006,3356.0,4591.0,1.0
year_re[2016],0.21,0.162,-0.043,0.485,0.003,0.002,3011.0,3551.0,1.0
year_re[2017],0.272,0.158,0.026,0.538,0.003,0.002,2712.0,3978.0,1.0
year_re[2018],-0.075,0.17,-0.355,0.202,0.003,0.002,3450.0,4609.0,1.0
year_re[2019],0.465,0.172,0.187,0.749,0.003,0.002,3560.0,4990.0,1.0
year_re[2020],0.017,0.188,-0.293,0.331,0.004,0.002,2762.0,3899.0,1.0
year_re[2021],0.034,0.186,-0.259,0.355,0.003,0.002,2907.0,3972.0,1.0
year_re[2022],-0.562,0.157,-0.816,-0.304,0.003,0.002,3171.0,4387.0,1.0
year_re[2023],-0.105,0.173,-0.395,0.161,0.003,0.002,3373.0,4893.0,1.0
year_re[2024],-0.263,0.169,-0.541,0.006,0.003,0.002,3463.0,4758.0,1.0
