,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.034,0.033,-0.086,0.022,0.0,0.0,5325.0,4853.0,1.0
beta0,0.078,0.056,-0.013,0.171,0.001,0.001,3901.0,4484.0,1.0
beta1,0.085,0.056,-0.008,0.176,0.001,0.001,2863.0,2940.0,1.0
beta_coefs[0],0.078,0.056,-0.013,0.171,0.001,0.001,3901.0,4484.0,1.0
beta_coefs[1],0.085,0.056,-0.008,0.176,0.001,0.001,2863.0,2940.0,1.0
beta_coefs[2],0.082,0.066,-0.02,0.189,0.001,0.001,2936.0,4162.0,1.0
beta_coefs[3],-0.008,0.07,-0.115,0.099,0.002,0.001,2361.0,2549.0,1.0
beta_coefs[4],-0.307,0.105,-0.474,-0.132,0.002,0.001,2517.0,3294.0,1.0
rw2_innovations[0],-0.009,0.136,-0.236,0.209,0.003,0.003,2689.0,2396.0,1.0
rw2_innovations[1],-0.087,0.126,-0.297,0.106,0.002,0.002,3287.0,2877.0,1.0
rw2_innovations[2],-0.209,0.193,-0.508,0.06,0.004,0.004,2250.0,2567.0,1.0
sigma,0.396,0.025,0.356,0.436,0.0,0.0,4990.0,4564.0,1.0
sigma_smooth,0.146,0.07,0.021,0.248,0.002,0.001,1563.0,1306.0,1.0
