,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.084,0.042,0.016,0.154,0.001,0.001,2939.0,4374.0,1.0
beta0,-0.046,0.041,-0.116,0.021,0.001,0.001,2037.0,458.0,1.0
beta1,-0.031,0.04,-0.093,0.032,0.001,0.001,2277.0,3174.0,1.0
beta_coefs[0],-0.046,0.041,-0.116,0.021,0.001,0.001,2037.0,458.0,1.0
beta_coefs[1],-0.031,0.04,-0.093,0.032,0.001,0.001,2277.0,3174.0,1.0
beta_coefs[2],-0.019,0.033,-0.073,0.03,0.001,0.001,4108.0,3808.0,1.0
beta_coefs[3],0.009,0.036,-0.047,0.067,0.001,0.001,2364.0,2079.0,1.0
beta_coefs[4],0.071,0.053,-0.018,0.154,0.001,0.001,3674.0,5012.0,1.0
rw2_innovations[0],-0.003,0.078,-0.123,0.126,0.002,0.003,3012.0,2560.0,1.01
rw2_innovations[1],0.017,0.068,-0.079,0.13,0.001,0.002,3565.0,2583.0,1.0
rw2_innovations[2],0.033,0.081,-0.089,0.165,0.002,0.003,2588.0,1825.0,1.0
sigma,0.386,0.032,0.335,0.439,0.0,0.0,5247.0,4796.0,1.0
sigma_smooth,0.069,0.052,0.002,0.141,0.002,0.001,387.0,224.0,1.01
