cohort,model,complexity,pooled_loyo_rmse,pooled_loyo_r2,n_obs,n_folds,note
all_olive,fpls,k=1,0.4345520804764772,-0.09927648567429825,162,9,"secondary, likely-underpowered diagnostic (~9 folds) — not the primary result"
all_olive,bayesian_baseline,n_basis=5 (RW2),0.4359444152391172,-0.1063320858878889,162,9,"secondary, likely-underpowered diagnostic (~9 folds) — not the primary result"
