,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.041,0.031,-0.094,0.009,0.0,0.0,5224.0,4867.0,1.0
beta0,-0.152,0.032,-0.206,-0.103,0.0,0.0,4413.0,4278.0,1.0
beta1,-0.075,0.041,-0.139,-0.011,0.001,0.001,2034.0,2069.0,1.0
beta_coefs[0],-0.152,0.032,-0.206,-0.103,0.0,0.0,4413.0,4278.0,1.0
beta_coefs[1],-0.075,0.041,-0.139,-0.011,0.001,0.001,2034.0,2069.0,1.0
beta_coefs[2],-0.037,0.031,-0.091,0.005,0.001,0.001,2645.0,2581.0,1.0
beta_coefs[3],0.033,0.04,-0.028,0.088,0.001,0.001,2367.0,2291.0,1.0
beta_coefs[4],0.155,0.041,0.09,0.224,0.001,0.0,4378.0,4924.0,1.0
rw2_innovations[0],-0.039,0.094,-0.193,0.088,0.003,0.004,2019.0,1773.0,1.0
rw2_innovations[1],0.032,0.074,-0.071,0.155,0.002,0.003,2348.0,1990.0,1.0
rw2_innovations[2],0.052,0.092,-0.078,0.194,0.002,0.003,2535.0,2412.0,1.0
sigma,0.376,0.023,0.339,0.413,0.0,0.0,4507.0,4479.0,1.0
sigma_smooth,0.078,0.058,0.001,0.159,0.002,0.001,966.0,1205.0,1.0
