,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.013,0.14,-0.241,0.215,0.003,0.002,2277.0,3465.0,1.0
beta0,0.08,0.06,-0.018,0.179,0.001,0.001,3693.0,4077.0,1.0
beta1,0.034,0.041,-0.036,0.098,0.001,0.001,3823.0,3167.0,1.0
beta_coefs[0],0.08,0.06,-0.018,0.179,0.001,0.001,3693.0,4077.0,1.0
beta_coefs[1],0.034,0.041,-0.036,0.098,0.001,0.001,3823.0,3167.0,1.0
beta_coefs[2],-0.001,0.041,-0.067,0.065,0.001,0.001,4631.0,4155.0,1.0
beta_coefs[3],-0.013,0.033,-0.067,0.037,0.0,0.001,5022.0,3825.0,1.0
beta_coefs[4],-0.017,0.065,-0.126,0.085,0.001,0.001,4445.0,4243.0,1.0
lag_coef,-0.159,0.104,-0.333,0.007,0.001,0.001,5722.0,5573.0,1.0
rw2_innovations[0],0.012,0.083,-0.105,0.161,0.001,0.002,3973.0,2644.0,1.0
rw2_innovations[1],0.022,0.078,-0.097,0.152,0.001,0.002,4670.0,3824.0,1.0
rw2_innovations[2],0.009,0.085,-0.113,0.157,0.001,0.002,5409.0,3572.0,1.0
sigma,0.31,0.027,0.267,0.352,0.0,0.0,5139.0,3090.0,1.0
sigma_smooth,0.073,0.054,0.001,0.148,0.002,0.001,823.0,1028.0,1.0
sigma_year,0.393,0.12,0.213,0.567,0.002,0.002,2533.0,3964.0,1.0
year_raw[0],0.596,0.488,-0.174,1.415,0.009,0.006,2808.0,4554.0,1.0
year_raw[1],0.749,0.484,0.001,1.579,0.009,0.006,2755.0,4445.0,1.0
year_raw[2],-0.214,0.49,-1.074,0.538,0.009,0.006,3172.0,4391.0,1.0
year_raw[3],1.259,0.572,0.284,2.144,0.011,0.007,2971.0,3884.0,1.0
year_raw[4],0.079,0.552,-0.873,0.924,0.009,0.007,3398.0,3743.0,1.0
year_raw[5],-1.532,0.563,-2.394,-0.561,0.011,0.006,2864.0,4212.0,1.0
year_raw[6],-0.293,0.491,-1.147,0.478,0.009,0.006,3113.0,4528.0,1.0
year_raw[7],-0.753,0.498,-1.541,0.078,0.009,0.006,3126.0,4771.0,1.0
year_re[2016],0.219,0.18,-0.075,0.509,0.003,0.002,2896.0,4431.0,1.0
year_re[2017],0.276,0.175,-0.002,0.566,0.003,0.002,2752.0,4438.0,1.0
year_re[2018],-0.084,0.187,-0.388,0.225,0.003,0.002,3098.0,4446.0,1.0
year_re[2019],0.459,0.183,0.158,0.753,0.003,0.002,3269.0,4984.0,1.0
year_re[2021],0.032,0.211,-0.311,0.372,0.004,0.003,3348.0,4710.0,1.0
year_re[2022],-0.562,0.174,-0.844,-0.279,0.003,0.002,2900.0,4555.0,1.0
year_re[2023],-0.108,0.186,-0.409,0.2,0.003,0.002,2929.0,4609.0,1.0
year_re[2024],-0.278,0.181,-0.566,0.021,0.003,0.002,3149.0,4849.0,1.0
