,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.026,0.046,-0.048,0.103,0.001,0.001,5492.0,4864.0,1.0
beta0,0.13,0.054,0.045,0.217,0.001,0.001,2298.0,3834.0,1.0
beta1,0.033,0.038,-0.027,0.093,0.001,0.001,2298.0,2045.0,1.0
beta_coefs[0],0.13,0.054,0.045,0.217,0.001,0.001,2298.0,3834.0,1.0
beta_coefs[1],0.033,0.038,-0.027,0.093,0.001,0.001,2298.0,2045.0,1.0
beta_coefs[2],-0.035,0.043,-0.106,0.027,0.001,0.001,2304.0,3196.0,1.0
beta_coefs[3],-0.056,0.036,-0.116,0.002,0.001,0.001,3793.0,3103.0,1.0
beta_coefs[4],-0.053,0.052,-0.134,0.036,0.001,0.001,3216.0,5556.0,1.0
rw2_innovations[0],0.03,0.095,-0.107,0.191,0.002,0.003,2127.0,1959.0,1.0
rw2_innovations[1],0.047,0.083,-0.069,0.192,0.002,0.003,3080.0,2506.0,1.0
rw2_innovations[2],0.024,0.092,-0.111,0.191,0.002,0.003,3483.0,2303.0,1.0
sigma,0.421,0.035,0.364,0.477,0.001,0.0,5117.0,4799.0,1.0
sigma_smooth,0.084,0.057,0.002,0.163,0.002,0.001,972.0,1284.0,1.0
