cohort,comarca,year,row_idx,yield_tha,lag_yield,wd_flowering_mean,wd_pit_mean
arbequina,Segrià,2016,63,0.76,0.74,-5.557724679904135,-6.654268614639109
arbequina,Segrià,2017,64,0.89,0.76,-5.949803930456975,-5.826491701785516
arbequina,Segrià,2018,65,0.79,0.89,1.1269912159538407,-6.30010651349116
arbequina,Segrià,2019,66,0.83,0.79,-3.333031215716022,-5.4540160908825985
arbequina,Segrià,2020,67,0.9,0.83,-1.9462992956896834,-6.339358630263258
arbequina,Segrià,2021,68,0.84,0.9,-5.688981608911909,-7.012623338044297
arbequina,Segrià,2022,69,0.395,0.84,-6.461644935682284,-2.828301401183027
arbequina,Segrià,2023,70,0.701,0.395,-5.741937808654381,-5.549041734068326
arbequina,Segrià,2024,71,0.695,0.701,-4.836947989096493,-4.077365078979494
arbequina,Tarragonès,2016,72,1.6,2.442,-4.152447740724079,-5.396096883806141
arbequina,Tarragonès,2017,73,1.642,1.6,-5.2041445060899,-5.727820100947582
arbequina,Tarragonès,2018,74,1.206,1.642,-3.9993367879459583,-5.26871341620765
arbequina,Tarragonès,2019,75,2.355,1.206,-3.588933047123239,-5.386149763464887
arbequina,Tarragonès,2020,76,1.737,2.355,-1.9836319963494646,-5.21899830426103
arbequina,Tarragonès,2021,77,1.884,1.737,-3.8167865058570527,-5.123975895314146
arbequina,Tarragonès,2022,78,0.338,1.884,-3.437958559912668,-4.30264197993928
arbequina,Tarragonès,2023,79,2.182,0.338,-2.9826185209861307,-4.4719503553437985
arbequina,Tarragonès,2024,80,0.867,2.182,-3.62166357982222,-3.969447452901548
arbequina,Urgell,2016,81,0.95,0.92,-5.464936257183945,-5.965091258877316
arbequina,Urgell,2017,82,0.97,0.95,-5.85590961284966,-5.983996904246485
arbequina,Urgell,2018,83,0.84,0.97,-0.07084465292387546,-5.596407522113356
arbequina,Urgell,2019,84,0.86,0.84,-5.659131867590949,-5.2159484473376825
arbequina,Urgell,2020,85,0.93,0.86,-3.9491345326769483,-6.1333028099685025
arbequina,Urgell,2021,86,0.93,0.93,-5.216086409521264,-5.081092199555318
arbequina,Urgell,2022,87,0.372,0.93,-4.505812598217804,-5.605764106601516
arbequina,Urgell,2023,88,0.702,0.372,-0.5628041030221567,-4.444772070640331
arbequina,Urgell,2024,89,0.65,0.702,-3.9544589881282186,-6.833470159481161
