cohort,predictor,base_temp,tau_gdd,basis_k,year_re_mode,window_shift_gdd,stem,delta_median,delta_q_lo,delta_q_hi,prob_delta_gt_0,delta_sign_flip_vs_baseline,prob_lt_0p7
arbequina,wd_state,10.0,45.0,5,with_year,50,numpyro_main_arbequina_wd_state_sens_tb10p0_tau45p0_k5_with_year,9.56453794650966e-05,-2.045377298335031e-05,0.0002403762180881,0.911,False,False
arbequina,wd_state,10.0,45.0,6,with_year,-50,numpyro_main_arbequina_wd_state_sens_tb10p0_tau45p0_k6_with_year,9.263220664590016e-05,-1.5098624455718254e-05,0.0002694434302394,0.92075,False,False
arbequina,wd_state,10.0,45.0,6,with_year,0,numpyro_main_arbequina_wd_state_sens_tb10p0_tau45p0_k6_with_year,8.11869227607546e-05,-1.6600614597036858e-05,0.000250868848958,0.912,False,False
arbequina,wd_state,10.0,45.0,6,with_year,50,numpyro_main_arbequina_wd_state_sens_tb10p0_tau45p0_k6_with_year,7.126729995831054e-05,-1.9276487709403102e-05,0.0002307959465049,0.899375,False,False
arbequina,wd_state,10.0,45.0,8,with_year,-50,numpyro_main_arbequina_wd_state_sens_tb10p0_tau45p0_k8_with_year,0.0001021606181444,-9.948232816710308e-06,0.000320663894929,0.928625,False,False
arbequina,wd_state,10.0,45.0,8,with_year,0,numpyro_main_arbequina_wd_state_sens_tb10p0_tau45p0_k8_with_year,9.504017187334132e-05,-1.1171368478750788e-05,0.0003065354558749,0.925125,False,False
arbequina,wd_state,10.0,45.0,8,with_year,50,numpyro_main_arbequina_wd_state_sens_tb10p0_tau45p0_k8_with_year,8.640401914523636e-05,-1.3624865864696766e-05,0.0002874624838038,0.9165,False,False
arbequina,wd_state,10.0,60.0,5,with_year,-50,numpyro_main_arbequina_wd_state_sens_tb10p0_tau60p0_k5_with_year,9.288921257543768e-05,-1.458032540895456e-05,0.0002450492100585,0.920875,False,False
arbequina,wd_state,10.0,60.0,5,with_year,0,numpyro_main_arbequina_wd_state_sens_tb10p0_tau60p0_k5_with_year,8.173288478881843e-05,-1.2931025755356756e-05,0.0002183751462395,0.919875,False,False
arbequina,wd_state,10.0,60.0,5,with_year,50,numpyro_main_arbequina_wd_state_sens_tb10p0_tau60p0_k5_with_year,7.075609870910689e-05,-1.4735410439725754e-05,0.0001973593455286,0.911125,False,False
arbequina,wd_state,10.0,120.0,5,with_year,-50,numpyro_main_arbequina_wd_state_sens_tb10p0_tau120p0_k5_with_year,8.218549047554641e-05,-3.467769171343033e-05,0.0002370036472027,0.874125,False,False
arbequina,wd_state,10.0,120.0,5,with_year,0,numpyro_main_arbequina_wd_state_sens_tb10p0_tau120p0_k5_with_year,7.372409546604005e-05,-2.8416645098416638e-05,0.0002167899334929,0.88425,False,False
arbequina,wd_state,10.0,120.0,5,with_year,50,numpyro_main_arbequina_wd_state_sens_tb10p0_tau120p0_k5_with_year,6.648049977997096e-05,-2.442565577730683e-05,0.0002023533945492,0.886375,False,False
arbequina,wd_state,12.5,45.0,5,with_year,-50,numpyro_main_arbequina_wd_state_sens_tb12p5_tau45p0_k5_with_year,0.0002065449600804,7.353015262190286e-05,0.0003301563948729,0.991375,False,False
arbequina,wd_state,12.5,45.0,5,with_year,0,numpyro_main_arbequina_wd_state_sens_tb12p5_tau45p0_k5_with_year,0.0001941853486607,7.652654109700813e-05,0.0003067402987554,0.9945,False,False
arbequina,wd_state,12.5,45.0,5,with_year,50,numpyro_main_arbequina_wd_state_sens_tb12p5_tau45p0_k5_with_year,0.0001852829398745,7.795683011806523e-05,0.0002932664847697,0.99625,False,False
arbequina_irrigated,wd_state,10.0,45.0,5,with_year,-50,numpyro_main_arbequina_wd_state_sens_irrigated_tb10p0_tau45p0_k5_with_year,4.58303993701106e-05,-0.0001582674890739,0.0002730278798754,0.642375,False,True
arbequina_irrigated,wd_state,10.0,45.0,5,with_year,0,numpyro_main_arbequina_wd_state_sens_irrigated_tb10p0_tau45p0_k5_with_year,3.9968078534791904e-05,-0.0001402691794508,0.0002411542994318,0.6405,False,True
arbequina_irrigated,wd_state,10.0,45.0,5,with_year,50,numpyro_main_arbequina_wd_state_sens_irrigated_tb10p0_tau45p0_k5_with_year,3.363193674927018e-05,-0.0001298908804019,0.000214894736165,0.636375,False,True
