,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.018,0.033,-0.072,0.037,0.0,0.0,5064.0,4696.0,1.0
beta0,0.129,0.038,0.069,0.193,0.001,0.001,2609.0,3319.0,1.0
beta1,0.046,0.032,-0.007,0.093,0.001,0.001,2819.0,1877.0,1.0
beta_coefs[0],0.129,0.038,0.069,0.193,0.001,0.001,2609.0,3319.0,1.0
beta_coefs[1],0.046,0.032,-0.007,0.093,0.001,0.001,2819.0,1877.0,1.0
beta_coefs[2],-0.009,0.032,-0.062,0.04,0.001,0.001,2812.0,3278.0,1.0
beta_coefs[3],-0.039,0.032,-0.092,0.007,0.001,0.001,3700.0,2226.0,1.0
beta_coefs[4],-0.075,0.039,-0.137,-0.011,0.001,0.001,5237.0,5309.0,1.0
rw2_innovations[0],0.028,0.082,-0.086,0.168,0.002,0.003,2770.0,1801.0,1.0
rw2_innovations[1],0.024,0.069,-0.073,0.147,0.001,0.002,3115.0,2265.0,1.0
rw2_innovations[2],-0.006,0.083,-0.137,0.127,0.002,0.003,3673.0,2254.0,1.0
sigma,0.398,0.024,0.358,0.437,0.0,0.0,4822.0,4657.0,1.0
sigma_smooth,0.071,0.054,0.002,0.146,0.002,0.001,812.0,1135.0,1.0
