lat_idx,lon_idx,cell_lat,cell_lon,area_ha_R,area_ha_S,n_parcels_R,n_parcels_S,total_ha,rainfed_frac
0,20,42.5000000000027,1.9999999999896545,64.49,35.9,85.0,66.0,100.38999999999999,0.35760533917720894
1,13,42.400000000002706,1.2999999999896943,0.0,1.38,0.0,2.0,1.38,1.0
1,17,42.400000000002706,1.6999999999896716,0.0,20.23,0.0,22.0,20.23,1.0
1,18,42.400000000002706,1.7999999999896659,7.700000000000001,86.18,8.0,125.0,93.88000000000001,0.917980400511291
1,19,42.400000000002706,1.8999999999896602,111.98,164.25,80.0,237.0,276.23,0.594613184664953
1,20,42.400000000002706,1.9999999999896545,1.09,11.65,13.0,12.0,12.74,0.9144427001569859
1,29,42.400000000002706,2.8999999999896033,0.0,1.01,0.0,1.0,1.01,1.0
1,30,42.400000000002706,2.9999999999895977,0.9,22.92,3.0,16.0,23.82,0.9622166246851386
2,7,42.30000000000271,0.6999999999897284,0.0,9.05,0.0,1.0,9.05,1.0
2,8,42.30000000000271,0.7999999999897227,0.0,6.23,0.0,2.0,6.23,1.0
2,10,42.30000000000271,0.9999999999897113,0.0,2.09,0.0,1.0,2.09,1.0
2,19,42.30000000000271,1.8999999999896602,0.0,0.43,0.0,2.0,0.43,1.0
2,25,42.30000000000271,2.499999999989626,7.49,4.3999999999999995,3.0,12.0,11.89,0.37005887300252305
2,26,42.30000000000271,2.5999999999896204,0.0,0.6,0.0,1.0,0.6,1.0
2,28,42.30000000000271,2.799999999989609,2.07,80.01,3.0,74.0,82.08,0.974780701754386
2,29,42.30000000000271,2.8999999999896033,29.29,164.38,20.0,155.0,193.67,0.8487633603552435
2,30,42.30000000000271,2.9999999999895977,811.61,88.35,835.0,180.0,899.96,0.09817102982354771
2,31,42.30000000000271,3.099999999989592,134.35999999999999,27.78,145.0,33.0,162.14,0.17133341556679416
3,7,42.20000000000272,0.6999999999897284,0.0,3.09,0.0,2.0,3.09,1.0
3,8,42.20000000000272,0.7999999999897227,0.0,51.18,0.0,60.0,51.18,1.0
3,9,42.20000000000272,0.899999999989717,111.05,178.49,124.0,208.0,289.54,0.616460592664226
3,10,42.20000000000272,0.9999999999897113,1.2,71.16,2.0,74.0,72.36,0.9834162520729685
3,11,42.20000000000272,1.0999999999897057,0.0,35.09,0.0,42.0,35.09,1.0
3,12,42.20000000000272,1.1999999999897,0.97,34.18,3.0,50.0,35.15,0.9724039829302987
3,13,42.20000000000272,1.2999999999896943,2.64,1.5,2.0,4.0,4.140000000000001,0.3623188405797101
3,14,42.20000000000272,1.3999999999896886,0.0,2.2800000000000002,0.0,2.0,2.2800000000000002,1.0
3,20,42.20000000000272,1.9999999999896545,0.0,0.6,0.0,1.0,0.6,1.0
3,24,42.20000000000272,2.3999999999896318,42.0,77.65,23.0,97.0,119.65,0.6489761805265357
3,25,42.20000000000272,2.499999999989626,37.54,133.63,37.0,210.0,171.17,0.7806858678506748
3,26,42.20000000000272,2.5999999999896204,17.19,128.47,7.0,189.0,145.66,0.8819854455581492
3,27,42.20000000000272,2.6999999999896147,79.42999999999999,158.46,22.0,121.0,237.89,0.6661061835302031
3,28,42.20000000000272,2.799999999989609,46.8,771.02,35.0,691.0,817.8199999999999,0.9427746936978798
3,29,42.20000000000272,2.8999999999896033,86.94,505.01,63.0,527.0,591.95,0.8531294872877776
3,30,42.20000000000272,2.9999999999895977,202.42,387.36,135.0,398.0,589.78,0.656787276611618
3,31,42.20000000000272,3.099999999989592,251.73,49.79,218.0,64.0,301.52,0.165130007959671
4,7,42.10000000000272,0.6999999999897284,2.3200000000000003,12.81,4.0,9.0,15.13,0.8466622604097819
4,8,42.10000000000272,0.7999999999897227,0.09,34.69,1.0,43.0,34.78,0.9974123059229442
4,9,42.10000000000272,0.899999999989717,186.87,223.96,185.0,220.0,410.83000000000004,0.5451403256821556
