lat_idx,lon_idx,cell_lat,cell_lon,area_ha_R,area_ha_S,n_parcels_R,n_parcels_S,total_ha,rainfed_frac
0,19,42.5000000000027,1.8999999999896602,1.56,0.15,1.0,2.0,1.71,0.08771929824561403
0,20,42.5000000000027,1.9999999999896545,74.06,33.01,97.0,69.0,107.07,0.3083029793592977
1,17,42.400000000002706,1.6999999999896716,0.0,20.189999999999998,0.0,17.0,20.189999999999998,1.0
1,18,42.400000000002706,1.7999999999896659,6.32,66.54,7.0,105.0,72.86000000000001,0.9132583035959373
1,19,42.400000000002706,1.8999999999896602,90.75,147.23,69.0,251.0,237.98,0.6186654340700899
1,20,42.400000000002706,1.9999999999896545,5.109999999999999,19.36,6.0,27.0,24.47,0.7911728647323253
1,24,42.400000000002706,2.3999999999896318,0.0,0.23,0.0,1.0,0.23,1.0
1,29,42.400000000002706,2.8999999999896033,0.0,5.17,0.0,3.0,5.17,1.0
1,30,42.400000000002706,2.9999999999895977,0.0,2.58,0.0,4.0,2.58,1.0
2,7,42.30000000000271,0.6999999999897284,0.0,0.45,0.0,1.0,0.45,1.0
2,8,42.30000000000271,0.7999999999897227,0.0,13.96,0.0,6.0,13.96,1.0
2,18,42.30000000000271,1.7999999999896659,0.0,1.1800000000000002,0.0,2.0,1.1800000000000002,1.0
2,24,42.30000000000271,2.3999999999896318,0.0,0.07,0.0,1.0,0.07,1.0
2,25,42.30000000000271,2.499999999989626,3.02,1.6099999999999999,4.0,12.0,4.63,0.34773218142548595
2,27,42.30000000000271,2.6999999999896147,4.92,0.0,2.0,0.0,4.92,0.0
2,28,42.30000000000271,2.799999999989609,9.659999999999998,71.65,12.0,96.0,81.31,0.8811954249169844
2,29,42.30000000000271,2.8999999999896033,48.82,205.58,38.0,164.0,254.4,0.8080974842767296
2,30,42.30000000000271,2.9999999999895977,898.83,100.16,904.0,221.0,998.99,0.10026126387651528
2,31,42.30000000000271,3.099999999989592,188.07,28.31,211.0,42.0,216.38,0.13083464275811071
3,8,42.20000000000272,0.7999999999897227,0.0,62.59,0.0,75.0,62.59,1.0
3,9,42.20000000000272,0.899999999989717,88.45,160.34,110.0,178.0,248.79000000000002,0.6444792797138148
3,10,42.20000000000272,0.9999999999897113,8.27,91.78999999999999,10.0,91.0,100.05999999999999,0.9173495902458525
3,11,42.20000000000272,1.0999999999897057,0.0,29.53,0.0,54.0,29.53,1.0
3,12,42.20000000000272,1.1999999999897,1.22,21.33,4.0,31.0,22.549999999999997,0.9458980044345898
3,13,42.20000000000272,1.2999999999896943,5.02,0.91,4.0,2.0,5.93,0.15345699831365936
3,14,42.20000000000272,1.3999999999896886,0.0,0.85,0.0,2.0,0.85,1.0
3,21,42.20000000000272,2.099999999989649,0.0,0.4,0.0,1.0,0.4,1.0
3,22,42.20000000000272,2.199999999989643,0.0,1.69,0.0,4.0,1.69,1.0
3,24,42.20000000000272,2.3999999999896318,53.879999999999995,70.94,23.0,118.0,124.82,0.5683384073065214
3,25,42.20000000000272,2.499999999989626,54.53,148.31,63.0,198.0,202.84,0.7311674225990928
3,26,42.20000000000272,2.5999999999896204,45.99,118.33,20.0,168.0,164.32,0.7201192794547225
3,27,42.20000000000272,2.6999999999896147,48.7,126.02,26.0,138.0,174.72,0.721268315018315
3,28,42.20000000000272,2.799999999989609,53.87,687.58,51.0,594.0,741.45,0.9273450670982534
3,29,42.20000000000272,2.8999999999896033,135.49,707.44,118.0,725.0,842.9300000000001,0.8392630467535858
3,30,42.20000000000272,2.9999999999895977,245.42,439.69,162.0,396.0,685.11,0.6417801520923647
3,31,42.20000000000272,3.099999999989592,297.46,74.08,197.0,89.0,371.53999999999996,0.19938633794477043
4,7,42.10000000000272,0.6999999999897284,2.3200000000000003,38.28,4.0,32.0,40.6,0.9428571428571428
4,8,42.10000000000272,0.7999999999897227,0.0,31.76,0.0,49.0,31.76,1.0
4,9,42.10000000000272,0.899999999989717,256.34,242.47,255.0,278.0,498.80999999999995,0.48609691064734073
4,10,42.10000000000272,0.9999999999897113,22.03,1079.46,48.0,894.0,1101.49,0.9799998184277661
4,11,42.10000000000272,1.0999999999897057,1.31,588.31,6.0,549.0,589.6199999999999,0.9977782300464707
4,12,42.10000000000272,1.1999999999897,0.0,52.71,0.0,96.0,52.71,1.0
4,13,42.10000000000272,1.2999999999896943,51.3,49.550000000000004,51.0,58.0,100.85,0.49132374814080326
4,14,42.10000000000272,1.3999999999896886,0.0,36.59,0.0,42.0,36.59,1.0
4,15,42.10000000000272,1.499999999989683,0.0,7.890000000000001,0.0,7.0,7.890000000000001,1.0
4,17,42.10000000000272,1.6999999999896716,0.0,66.79,0.0,78.0,66.79,1.0
4,18,42.10000000000272,1.7999999999896659,0.01,233.2,1.0,219.0,233.20999999999998,0.9999571201921016
4,19,42.10000000000272,1.8999999999896602,0.0,135.69,0.0,129.0,135.69,1.0
4,20,42.10000000000272,1.9999999999896545,0.0,51.3,0.0,75.0,51.3,1.0
4,21,42.10000000000272,2.099999999989649,0.0,100.81,0.0,84.0,100.81,1.0
4,22,42.10000000000272,2.199999999989643,17.009999999999998,82.66,7.0,150.0,99.66999999999999,0.8293368114778771
4,23,42.10000000000272,2.2999999999896374,6.73,79.47,3.0,150.0,86.2,0.9219257540603247
4,24,42.10000000000272,2.3999999999896318,36.01,80.18,36.0,83.0,116.19,0.6900765986745848
4,25,42.10000000000272,2.499999999989626,12.9,85.87,12.0,127.0,98.77000000000001,0.8693935405487496
4,26,42.10000000000272,2.5999999999896204,13.2,90.99,6.0,110.0,104.19,0.8733083789231212
4,27,42.10000000000272,2.6999999999896147,35.07,198.38,39.0,223.0,233.45,0.8497751124437781
4,28,42.10000000000272,2.799999999989609,93.92,1016.21,101.0,1171.0,1110.13,0.9153972958122021
4,29,42.10000000000272,2.8999999999896033,61.72,789.53,72.0,759.0,851.25,0.9274948604992658
4,30,42.10000000000272,2.9999999999895977,112.64,428.9,142.0,552.0,541.54,0.7920005909074123
4,31,42.10000000000272,3.099999999989592,271.92,59.44,265.0,156.0,331.36,0.17938194109126024
5,7,42.00000000000273,0.6999999999897284,0.0,184.35,0.0,142.0,184.35,1.0
5,8,42.00000000000273,0.7999999999897227,0.0,137.82,0.0,131.0,137.82,1.0
5,9,42.00000000000273,0.899999999989717,0.0,59.02,0.0,94.0,59.02,1.0
5,10,42.00000000000273,0.9999999999897113,15.15,468.41,33.0,554.0,483.56,0.9686698651666805
5,11,42.00000000000273,1.0999999999897057,1.43,675.68,3.0,835.0,677.1099999999999,0.9978880831770319
5,12,42.00000000000273,1.1999999999897,6.93,428.76,7.0,662.0,435.69,0.9840941954141706
5,13,42.00000000000273,1.2999999999896943,3.15,355.07,4.0,499.0,358.21999999999997,0.9912065211322652
5,14,42.00000000000273,1.3999999999896886,0.0,700.96,0.0,752.0,700.96,1.0
5,15,42.00000000000273,1.499999999989683,0.0,909.03,0.0,951.0,909.03,1.0
5,16,42.00000000000273,1.5999999999896772,0.07,473.27,1.0,424.0,473.34,0.9998521147589471
5,17,42.00000000000273,1.6999999999896716,1.42,757.52,6.0,881.0,758.9399999999999,0.998128969351991
5,18,42.00000000000273,1.7999999999896659,0.0,525.04,0.0,781.0,525.04,1.0
5,19,42.00000000000273,1.8999999999896602,0.0,482.95,0.0,675.0,482.95,1.0
5,20,42.00000000000273,1.9999999999896545,0.0,465.74,0.0,524.0,465.74,1.0
5,21,42.00000000000273,2.099999999989649,0.04,642.03,1.0,741.0,642.0699999999999,0.9999377014967216
5,22,42.00000000000273,2.199999999989643,13.629999999999999,587.07,8.0,697.0,600.7,0.9773098052272349
5,23,42.00000000000273,2.2999999999896374,33.87,938.68,16.0,1168.0,972.55,0.9651740270423115
5,26,42.00000000000273,2.5999999999896204,5.63,30.48,14.0,35.0,36.11,0.8440875103849349
5,27,42.00000000000273,2.6999999999896147,69.68,157.42000000000002,112.0,217.0,227.10000000000002,0.6931748128577719
5,28,42.00000000000273,2.799999999989609,160.74,317.08,163.0,390.0,477.82,0.6635971704826085
5,29,42.00000000000273,2.8999999999896033,59.82,93.34,109.0,149.0,153.16,0.6094280490989815
5,30,42.00000000000273,2.9999999999895977,185.49,638.79,235.0,814.0,824.28,0.7749672441403407
5,31,42.00000000000273,3.099999999989592,227.41,605.59,303.0,655.0,833.0,0.726998799519808
6,6,41.900000000002734,0.5999999999897341,4.0600000000000005,106.91,11.0,61.0,110.97,0.9634135351896909
6,7,41.900000000002734,0.6999999999897284,5.3500000000000005,336.45,15.0,334.0,341.8,0.9843475716793446
6,8,41.900000000002734,0.7999999999897227,13.75,351.03,24.0,369.0,364.78,0.9623060474806733
6,9,41.900000000002734,0.899999999989717,8.5,252.64000000000001,21.0,243.0,261.14,0.967450409741901
6,10,41.900000000002734,0.9999999999897113,140.5,670.36,146.0,696.0,810.86,0.826727178551168
6,11,41.900000000002734,1.0999999999897057,101.91,1213.88,187.0,1422.0,1315.7900000000002,0.9225484309806276
6,12,41.900000000002734,1.1999999999897,153.88,952.29,99.0,1313.0,1106.17,0.8608893750508511
6,13,41.900000000002734,1.2999999999896943,85.48,971.76,41.0,1330.0,1057.24,0.9191479701865234
6,14,41.900000000002734,1.3999999999896886,0.0,924.9399999999999,0.0,1166.0,924.9399999999999,1.0
6,15,41.900000000002734,1.499999999989683,0.11,1135.51,1.0,1370.0,1135.62,0.9999031366125993
6,16,41.900000000002734,1.5999999999896772,0.0,891.28,0.0,1074.0,891.28,1.0
6,17,41.900000000002734,1.6999999999896716,15.91,544.94,38.0,1134.0,560.85,0.9716323437639298
6,18,41.900000000002734,1.7999999999896659,0.16,382.18,2.0,565.0,382.34000000000003,0.9995815242977454
6,19,41.900000000002734,1.8999999999896602,0.04,589.27,1.0,752.0,589.31,0.9999321240094349
6,20,41.900000000002734,1.9999999999896545,0.0,417.86,0.0,604.0,417.86,1.0
6,21,41.900000000002734,2.099999999989649,1.03,333.96,3.0,430.0,334.98999999999995,0.9969252813516822
6,22,41.900000000002734,2.199999999989643,4.67,936.04,6.0,1237.0,940.7099999999999,0.9950356645512433
6,23,41.900000000002734,2.2999999999896374,7.05,871.88,13.0,1125.0,878.93,0.9919788834150616
6,25,41.900000000002734,2.499999999989626,0.12,0.0,1.0,0.0,0.12,0.0
6,27,41.900000000002734,2.6999999999896147,183.12,425.48,147.0,473.0,608.6,0.6991127177127835
6,28,41.900000000002734,2.799999999989609,546.46,777.17,364.0,691.0,1323.63,0.5871504876740478
6,29,41.900000000002734,2.8999999999896033,49.1,178.95,35.0,202.0,228.04999999999998,0.784696338522254
6,30,41.900000000002734,2.9999999999895977,0.94,60.22,3.0,49.0,61.16,0.9846304774362329
6,31,41.900000000002734,3.099999999989592,13.15,114.16,12.0,135.0,127.31,0.8967088209881392
7,4,41.80000000000274,0.39999999998974545,41.62,0.0,22.0,0.0,41.62,0.0
7,5,41.80000000000274,0.49999999998973976,312.7,138.6,149.0,80.0,451.29999999999995,0.30711278528694885
7,6,41.80000000000274,0.5999999999897341,286.17,521.7,444.0,436.0,807.8700000000001,0.6457722158268038
7,7,41.80000000000274,0.6999999999897284,325.64,535.57,215.0,430.0,861.21,0.6218808420710397
7,8,41.80000000000274,0.7999999999897227,479.24,278.84,566.0,248.0,758.0799999999999,0.3678239763613339
7,9,41.80000000000274,0.899999999989717,936.09,166.21,1120.0,220.0,1102.3,0.1507847228522181
7,10,41.80000000000274,0.9999999999897113,589.62,512.21,949.0,511.0,1101.83,0.4648720764546255
7,11,41.80000000000274,1.0999999999897057,359.89,1006.48,295.0,736.0,1366.37,0.7366086784692287
7,12,41.80000000000274,1.1999999999897,72.32,1660.06,32.0,1797.0,1732.3799999999999,0.9582539627564391
7,13,41.80000000000274,1.2999999999896943,10.58,1768.7,5.0,2049.0,1779.28,0.9940537745604964
7,14,41.80000000000274,1.3999999999896886,0.75,1274.91,3.0,1668.0,1275.66,0.9994120690466112
7,15,41.80000000000274,1.499999999989683,14.329999999999998,1212.82,6.0,1509.0,1227.1499999999999,0.9883225359572995
7,16,41.80000000000274,1.5999999999896772,1.38,562.3,1.0,642.0,563.68,0.9975518024411013
7,17,41.80000000000274,1.6999999999896716,11.94,305.12,5.0,465.0,317.06,0.9623415126474485
7,18,41.80000000000274,1.7999999999896659,5.05,698.51,26.0,938.0,703.56,0.9928222184319746
7,19,41.80000000000274,1.8999999999896602,25.66,602.15,11.0,617.0,627.81,0.9591277615839188
7,20,41.80000000000274,1.9999999999896545,0.0,209.10999999999999,0.0,173.0,209.10999999999999,1.0
7,21,41.80000000000274,2.099999999989649,0.1,161.87,4.0,164.0,161.97,0.9993826017163673
7,22,41.80000000000274,2.199999999989643,5.33,543.93,3.0,737.0,549.26,0.9902960346648216
7,23,41.80000000000274,2.2999999999896374,0.0,54.6,0.0,66.0,54.6,1.0
7,25,41.80000000000274,2.499999999989626,10.68,10.93,16.0,33.0,21.61,0.5057843590930124
7,26,41.80000000000274,2.5999999999896204,25.060000000000002,24.55,10.0,68.0,49.61,0.4948599072767587
7,27,41.80000000000274,2.6999999999896147,47.949999999999996,331.71,66.0,309.0,379.65999999999997,0.873702786703893
