comarca,arbequina_frac,arbequina_ha,total_ha
Garrigues,0.9805385761894395,5855.09,5971.3
Segrià,0.9938153405136577,2641.75,2658.19
Baix Camp,0.9811262232285478,2530.56,2579.2400000000002
Priorat,0.9951126004185018,680.05,683.39
Urgell,0.9558829481523455,472.34000000000003,494.14
Noguera,0.9412438575864458,312.2199999999999,331.71
Tarragonès,0.9897767444823082,310.78,313.99
Alt Camp,0.9646151818661044,292.78,303.52
